rank|token_id|name|score|link|Background|Mask|Eye|Mouth|Head|Holo Suit
31|484|Holo Mask : White & Black #484|688.6223255863973|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/484|Irvin|Leah 2 Color|Everett|Nellie|Emmett Black|Benjamin White
31|3761|Holo Mask : White & Black #3761|688.6223255863973|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3761|Irvin|Luna 2 Color|Jameson|Laila|Kai White|Dominic White
33|2325|Holo Mask : White & Black #2325|688.5615760228853|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2325|Sky|Evelyn 2 Color|Wesley|Mabel|Kai White|Adrian White
34|154|Holo Mask : White & Black #154|685.4055465054622|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/154|Vince|Emma 2 Color|Jace|Mayda|Silas White|Angel White
34|670|Holo Mask : White & Black #670|685.4055465054622|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/670|Vince|Madison 2 Color|Everett|Marina|Braxton White|Dominic White
34|2841|Holo Mask : White & Black #2841|685.4055465054622|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/2841|Vince|Hazel 2 Color|Weston|Nina|Bennett White|Isaac White
34|3412|Holo Mask : White & Black #3412|685.4055465054622|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3412|Vince|Ava 2 Color|Ayden|Mayda|Emmett Black|Colton White
34|3617|Holo Mask : White & Black #3617|685.4055465054622|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/3617|Trey|Sophia 2 Color|Ezekiel|Molly|Braxton White|Easton White
39|923|Holo Mask : White & Black #923|685.1093316580678|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/923|Sunshine|Sophia 2 Color|Declan|Nellie|Emmett Black|Isaac White
39|1747|Holo Mask : White & Black #1747|685.1093316580678|https://quixotic.io/asset/0xE0a3711D4286E628998d47beF524C292deFD1719/1747|Sunshine|Kadey White 2 Color|Micah|Malia|Nathaniel Black|Cameron White
