rank|score|token_id|name|aura|weapon|body|eye|clothes|accessory_ear|mouth|accessory_face|hair|headgear|style|link
1314|623.1186849945632|893|Genesis Kami #893|Shadow|None|Black|Sky blue satan|White gakuran|Silver triple ring right|Blue rose|Red mekakushi|Purple cornrow braids|White devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/893
1315|623.0810111142458|1029|Genesis Kami #1029|Porpoise white red|None|White|Sky blue determined|Black gold pimp|Silver skull|Neutral|Green cyberpunk glasses|Brownish orange under cut|Joker mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1029
1316|622.5821464818035|2265|Genesis Kami #2265|Fossil purple fire ghost|Gray scythe|Black|Red grievous|Orange cyberpunk suit|Silver chain|Blue rose|White kamen|Brown japan bangs|White devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2265
1317|622.5676507927302|3357|Genesis Kami #3357|Immortal black god feather aura|Berserker blade|Gray|Pink strained|Yellow priest|Silver triple ring right|Mild smile|Houtai all|Brownish orange disheveled|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3357
1318|622.3354540354305|4406|Genesis Kami #4406|Blizzard night|Gray scythe|Black|Green good boy|Red gangster suit|Silver spear|Gritted|Bandage cheek & nose|Brownish orange disheveled|Angry mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4406
1319|622.294300473742|3253|Genesis Kami #3253|Cyberpunk system|Red wand|White|Black cold|Red cyberpunk suit|Gold double long right|Blue rose|Black danzo mekakushi|Brownish orange cornrow braids|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3253
1320|622.2574982586633|3874|Genesis Kami #3874|Blizzard night|None|Cream|White strained|Purple cyberpunk suit|Black spear|White rose|Bandage cheek & nose|Red under cut|Gold purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3874
1321|622.2046733588949|69|Genesis Kami #69|Hazelnut|Gold berserker|Cream|Sky blue satan|Red lord|Gold double ring right 2|Gritted|None|Red cornrow braids|Gold minotaur horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/69
1322|622.0946674880142|3362|Genesis Kami #3362|Porpoise fire fairy|Silver berserker|Cream|Sky blue gentle|Red white clown|Silver dot|Haha|Houtai cheek|White cornrow braids|Black kitsune ears|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3362
1323|622.0904305167951|4471|Genesis Kami #4471|Immortal coin dark feather aura|Katana 1|Gray|Yellow angry eyes|Black shirt|Gold triple ring right|Smirk|Danzo mekakushi houtai|Gray disheveled|Black kitsune ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4471
