rank|score|token_id|name|aura|weapon|body|eye|clothes|accessory_ear|mouth|accessory_face|hair|headgear|style|link
1|1485.821022743689|2378|Genesis Kami #2378|Immortal okane mochi|Red scythe|White|Green angry eyes|Blue cape|Gold spear|Smirk|Gold opera kamen|Red ikemen|White baphomet horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2378
2|1475.6822572664346|6|Genesis Kami #6|Chocolate black red thunder|Silver buster sword|White|Black determined|Purple black hood|Gold double long right|Smile|Gold anti toxic mask|Mint shonen|Sadly mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/6
3|1384.9378781246587|3946|Genesis Kami #3946|Immortal galaxy sakura|Purple scythe|White|Yellow gangsta|Black wing angel|Gold short long|Neutral|Purple shadow mask|Purple disheveled|Black satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3946
4|1339.5539288105047|627|Genesis Kami #627|Sandstone|Katana 2|White|Black strained|White black kimono|Black white fluffy|Smile with teeth|White oni mask|White wuxia|Black baby cat|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/627
5|1305.1644239192503|5525|Genesis Kami #5525|Immortal black god feather aura|None|Gray|Black determined|White wing angel|Gold double ring right 2|Haha|Purple shadow mask|Brown disheveled|Gold purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5525
6|1284.9100649228317|2297|Genesis Kami #2297|Spruce blue kiminari|Berserker blade|White|Sky blue strained|White gold pimp|Silver ring 1|Smirk|Brown sunglasses|Gold kpop 1|Wizard hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2297
7|1274.114971008518|1137|Genesis Kami #1137|Slate red fire ghost|Berserker blade|Brown|Sky blue strained|Gold kimono|Silver short long|Smile|White oni mask|Red madara|Kitsune mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1137
8|1272.9994379674883|2187|Genesis Kami #2187|Shadow|Katana 2|Titanium|Sky blue aggressive|White ninja|Black red kss hanafuda|Angry|White oni mask|Black cornrow braids|Kitsune mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2187
9|1244.3603631657402|2858|Genesis Kami #2858|Hazel wood dry leaves|Katana 1|Cream|Green demon|Black gakuran|Gold triple ring right|Smirk|Gold anti toxic mask|Mint disheveled|Gold red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2858
10|1236.4952047530548|1485|Genesis Kami #1485|Oat maple leaf|Brush|Brown|Purple strained|Gray fur|Gold ring 2|Green gum|None|Gold japan bangs|White baphomet horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1485
11|1230.8999910634934|599|Genesis Kami #599|Blush|Gold berserker|Cream|Purple cold|Bondage pharoh|Silver ring 3|Angry|Purple shadow mask|Gray wuxia|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/599
12|1215.5851402106741|2368|Genesis Kami #2368|Immortal okane mochi|None|White|Gray demon|Red gakuran|Gold ring 1|Mild smile|Blue anti toxic mask|Gold cornrow braids|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2368
13|1208.5787063592259|4421|Genesis Kami #4421|Mahogany|Berserker blade|Gray|Yellow determined|Black onmyoji|Purple black fluffy|Angry|White oni mask|White long hair|White baby cat|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4421
14|1192.3527642930412|1073|Genesis Kami #1073|Lavender|Red scythe|Cream|Red good boy|Blue hood|Silver dot|Angry|Brown pirate eyepatch|Gray wuxia|White satan horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1073
15|1186.5940124770798|1466|Genesis Kami #1466|Shadow|Katana 2|Cream|White grievous|Red white kimono|Gold double long right|Smile|White oni mask|Red cornrow braids|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1466
16|1183.9709769537435|5214|Genesis Kami #5214|Rosewood|None|Brown|Red aggressive|Black gakuran|Silver double long right|Smile|Gold anti toxic mask|Purple cornrow braids|White baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5214
17|1181.014232128132|1796|Genesis Kami #1796|Oat maple leaf|None|Cream|Black grievous|Red gangster suit|Silver ring 3|Haha|Anti toxic mask|White harajuku|White minotaur horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1796
18|1178.399692020118|4802|Genesis Kami #4802|Sky|None|White|White gangsta|Black white purple kimono|White black fluffy|Smile with teeth|White oni mask|White slick hair|White baby cat|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4802
19|1175.0288430836545|2381|Genesis Kami #2381|Hickory|Katana 1|Gray|Black strained|White priest|Red black fluffy|Smile with teeth|White oni mask|Mint shonen|Brownish orange cat ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2381
20|1157.9679168748742|5191|Genesis Kami #5191|Red fire|None|White|White strained|Purple ninja|Silver double ring right 1|Neutral|White oni mask|Mint disheveled|Gray tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5191
21|1156.3377297312645|2355|Genesis Kami #2355|Immortal okane mochi|Red scythe|Brown|White aggressive|Black silver pimp|None|White rose|Red mekakushi|Black wuxia|Smile mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2355
22|1152.4846688781304|4000|Genesis Kami #4000|Immortal okane mochi|None|Cream|Pink angry eyes|Purple turtle|Gold ring 2|Gritted|None|Mint long hair|White minotaur horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4000
23|1144.3560064991104|1334|Genesis Kami #1334|Chocolate black red thunder|Gray scythe|White|Red good boy|Black gakuran|Gold dot|Angry|Black mekakushi|Gold kpop 1|White baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1334
24|1138.5241550347428|4296|Genesis Kami #4296|Olive|Purple scythe|White|Sky blue determined|White gakuran|Silver chain|Mild smile|Gold anti toxic mask|Purple madara|Black kitsune ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4296
25|1137.8662830977896|100|Genesis Kami #100|Mahogany|Silver berserker|White|Green gentle|Blue cyberpunk suit|White feather|Neutral|Purple shadow mask|Mint nippon|Black minotaur horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/100
26|1134.4211100559035|552|Genesis Kami #552|Flint|Brush|Cream|Red gentle|Red onmyoji|Red black fluffy|Angry|White oni mask|Gold nippon|Oni mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/552
27|1133.5930815389886|5360|Genesis Kami #5360|Mahogany|Gray scythe|Cream|Yellow aggressive|Purple lord|Gold spear|Angry|Purple shadow mask|Brownish orange under cut|Gold red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5360
28|1130.1949037849674|470|Genesis Kami #470|Cyberpunk system|None|Cream|Red aggressive|Purple tribal|Gold double ring right 1|Angry|Purple shadow mask|White nippon|White devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/470
29|1126.5759043033995|2575|Genesis Kami #2575|Immortal okane mochi|None|White|Purple gentle|Red turtle|Silver double ring right 1|Gritted|Blue sunglasses|Black cornrow braids|Joker mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2575
30|1125.9805415429996|1748|Genesis Kami #1748|Rosewood|Red wand|White|Black cold|White father|Gold double ring right 1|Haha|Blue anti toxic mask|Red cornrow braids|White satan horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1748
31|1124.6755145866496|4385|Genesis Kami #4385|Teal kase|Katana 1|Brown|Purple cold|Black silver samurai|Silver four ring right|Haha|Mask gangster|Gray kpop 1|Black baby dragon|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4385
32|1119.9681389833402|4603|Genesis Kami #4603|Black fire|Purple wand|Black|Green demon|Black turtle|Gold double ring right 2|Rose|Bandage cheek & nose|Purple ikemen|White baphomet horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4603
33|1117.0037763456257|121|Genesis Kami #121|Oat|None|Black|Red gentle|Brown turtle|Silver skull|Mild smile|Brown pirate eyepatch|Purple madara|White satan horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/121
34|1114.6269178598584|3515|Genesis Kami #3515|Coin black red thunder|Gray scythe|White|Red gangsta|Black gangster suit|Gold chain|Neutral|Gold anti toxic mask|Brown shonen|Horror mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3515
35|1112.082923154489|4634|Genesis Kami #4634|Chocolate maple leaf|None|Cream|Black determined|Red biker jacket|Silver double ring right 2|Smirk|Doctor glasses|Red shonen|Wizard hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4634
36|1099.485676564081|77|Genesis Kami #77|Flint black purple thunder|Spear|Cream|Purple grievous|Brown turtle|Silver spear|Mild smile|Houtai nose|Mint long hair|White baphomet horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/77
37|1098.7671784178947|4694|Genesis Kami #4694|Hazelnut|Katana 1|White|Black determined|White fur|Gold short long|Neutral|Houtai cheek|White long hair|White baphomet horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4694
38|1098.7140403708702|4459|Genesis Kami #4459|Slate blue fire ghost|Purple scythe|Gray|Purple gentle|White black clown|Silver ring 2|Smile|Red shadow mask|Gray wuxia|Red devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4459
39|1096.5343376410253|1682|Genesis Kami #1682|Sky|Purple scythe|Gray|Red vampire|Black gold pimp|Silver ring 1|Smirk|Bandage cheek|White long hair|White baphomet horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1682
40|1090.9325742291032|1085|Genesis Kami #1085|Blush|Red wand|White|Yellow aggressive|Pharoh|Silver double ring right 2|Mild smile|Purple shadow mask|Brownish orange slick hair|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1085
41|1090.6307280519004|4610|Genesis Kami #4610|Silver|Red wand|White|White angry eyes|Bondage pharoh|Black feather|Smile|Purple shadow mask|Brown disheveled|Gold red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4610
42|1090.0041602520294|2169|Genesis Kami #2169|Chocolate black red thunder|Red wand|Gray|Yellow gentle|Blue biker jacket|Silver ring 3|Angry|Megane|Brown disheveled|Gray baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2169
43|1086.7387936452205|2974|Genesis Kami #2974|Chocolate black red thunder|None|White|Green determined|Purple cape|Silver skull|Angry|Blue cyberpunk glasses|Gold kpop 1|Horror mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2974
44|1085.297853963568|4631|Genesis Kami #4631|Pewter|None|Cream|Green gentle|White silver pimp|Gold double ring right 2|Angry|Green anti toxic mask|Gray kpop 1|Silver red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4631
45|1085.042327220246|3975|Genesis Kami #3975|Chocolate maple leaf|Gold buster sword|Gray|Red determined|Purple cape|Silver double ring right 1|Neutral|Red anti toxic mask|Brown nippon|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3975
46|1080.443856218861|3714|Genesis Kami #3714|Red fire|Brush|Cream|Yellow gentle|Black gold pimp|Gold ring 2|Mild smile|Green cyberpunk glasses|Purple cornrow braids|Wizard hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3714
47|1065.3027757747107|4719|Genesis Kami #4719|Wood|Red scythe|Titanium|Green determined|Black gold pimp|White feather|Haha|White kamen|Mint nippon|White baphomet horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4719
48|1064.0759768699306|1433|Genesis Kami #1433|Lavender|Berserker blade|Brown|Green gangsta|Red biker jacket|White feather|Angry|Black pirate eyepatch|Brownish orange cornrow braids|Wizard hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1433
49|1063.015248784983|336|Genesis Kami #336|Porpoise|Gray scythe|Cream|Pink gentle|Red father|Silver short long|Smile with teeth|Purple shadow mask|Brownish orange disheveled|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/336
50|1053.1089420637916|5333|Genesis Kami #5333|Hazelnut|None|White|Pink gentle|Red gangster suit|Silver double long right|Smile|Bandage cheek|Gold slick hair|White baphomet horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5333
51|1052.8402330062638|4312|Genesis Kami #4312|Slate blue fire ghost|None|Cream|Purple strained|Red turtle|Silver skull|Smile|Gold anti toxic mask|Black shonen|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4312
52|1052.223755257093|5467|Genesis Kami #5467|Flint|None|Black|Black vampire|Red gakuran|Sky blue feather|Neutral|Gold anti toxic mask|Purple long hair|Horror mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5467
53|1046.5754958842267|2331|Genesis Kami #2331|Chocolate maple leaf|Katana 2|Cream|White strained|Black turtle|Silver ring 2|Angry|Green anti toxic mask|White madara|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2331
54|1041.5760589723106|5302|Genesis Kami #5302|Oat|Spear|White|Red cold|Purple gangster suit|Silver skull|Smile with teeth|None|Purple disheveled|White baphomet horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5302
55|1037.3427009313239|2844|Genesis Kami #2844|Hickory|Gold buster sword|White|White angry eyes|Jacket hood|Black spear|Haha|Green anti toxic mask|White under cut|Black baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2844
56|1034.9442937822375|2911|Genesis Kami #2911|Oat grass flower|Purple scythe|White|Purple angry eyes|Red fur|Gold triple ring right|Neutral|Red anti toxic mask|Red harajuku|Black cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2911
57|1032.6912054797524|5257|Genesis Kami #5257|Chocolate black red thunder|None|White|Sky blue good boy|Purple gangster suit|Silver four ring right|Haha|Brown sunglasses|Gray under cut|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5257
58|1030.4700580203087|537|Genesis Kami #537|Cyberpunk system|None|Black|Purple strained|Brown turtle|Silver double ring right 1|Blue gum|Black opera kamen|Mint slick hair|Wizard hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/537
59|1029.4582711216879|3771|Genesis Kami #3771|Pistachio fresh leaves|Red wand|Cream|Pink gentle|Black hood|Silver double ring right 2|Smile with teeth|Blue anti toxic mask|Brown kpop 1|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3771
60|1028.4239806331598|1629|Genesis Kami #1629|Immortal coin dark feather aura|Purple wand|Gray|White strained|Black hood|Gold ring 1|Smile|Bandage cheek & nose|Gray oppa|White satan horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1629
61|1026.4966401083846|5245|Genesis Kami #5245|Lavender|Red wand|Brown|Green grievous|Purple white hood|Gold dot|Gritted|Gold anti toxic mask|Brown ikemen|Black kitsune ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5245
62|1025.0353211538454|3353|Genesis Kami #3353|Seaweed|None|White|Purple strained|Red cape|None|Mild smile|Black demon mask|Mint oppa|Wizard hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3353
63|1023.4324451353889|321|Genesis Kami #321|Colud blue kaminari|None|Brown|Pink good boy|Black gold pimp|Gold triple ring right|Smile|Red anti toxic mask|Purple under cut|White devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/321
64|1023.369156967059|306|Genesis Kami #306|Chocolate black red thunder|Purple wand|Cream|Black strained|Blue biker jacket|Gold double ring right 2|Blue gum|Houtai cheek|White oppa|White magic hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/306
65|1022.3838980658583|327|Genesis Kami #327|Chocolate black red thunder|Brush|White|White angry eyes|Blue gangster suit|Silver spear|Neutral|Houtai cheek & nose|Brownish orange cornrow braids|Gold sky blue imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/327
66|1020.0423180504779|2642|Genesis Kami #2642|Slate purple fire ghost|Brush|Cream|Pink gangsta|Black turtle|Gold spear|Smile with teeth|Green anti toxic mask|Black madara|Black kitsune ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2642
67|1017.169547157125|5527|Genesis Kami #5527|Cyberpunk system|None|Gray|Yellow aggressive|Black hood|Silver dot|Gritted|Green anti toxic mask|Purple madara|Black baby dragon|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5527
68|1015.5848948860782|750|Genesis Kami #750|Pine|Red wand|Gray|Green determined|Gray fur|Gold double long right|Smirk|Houtai cheek|Purple slick hair|Wizard hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/750
69|1015.4587244103959|936|Genesis Kami #936|Silver|Spear|White|Pink gentle|Blue cape|Silver short long|Mild smile|Black mekakushi|Brown oppa|White baphomet horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/936
70|1012.8500899467502|772|Genesis Kami #772|Immortal black god feather aura|Gray scythe|Cream|Pink gentle|Black hood|Silver double long right|Blue gum|Brown sunglasses|Gray kpop 1|Gold red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/772
71|1011.4363531666929|1077|Genesis Kami #1077|Porpoise white purple|Silver berserker|Black|Yellow determined|Purple tribal|Silver four ring right|Mild smile|Red shadow mask|Mint wuxia|Gold purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1077
72|1008.7445147574726|1877|Genesis Kami #1877|Blush|None|Cream|Purple gentle|Blue hood|Gold double ring right 2|Neutral|Gold anti toxic mask|Brown oppa|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1877
73|1006.8057063140723|1445|Genesis Kami #1445|Fossil red fire ghost|Gray scythe|White|Sky blue good boy|Red tribal|Silver double long right|Mild smile|Red shadow mask|Brownish orange harajuku|Gold minotaur horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1445
74|1004.1236206211292|1353|Genesis Kami #1353|Immortal okane mochi|Red wand|Brown|Sky blue angry eyes|Purple black hood|Silver double long right|Neutral|White demon mask|White slick hair|Black cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1353
75|1000.021925380754|3843|Genesis Kami #3843|Immortal galaxy sakura|Purple wand|Titanium|Yellow strained|Purple gakuran|Gold ring 2|Haha|Round glasses big|Red wuxia|White cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3843
76|999.2532366045278|4197|Genesis Kami #4197|Shadow|None|White|Black grievous|Brown turtle|Silver skull|Mild smile|Red anti toxic mask|Mint under cut|Gold red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4197
77|997.2569726936698|5338|Genesis Kami #5338|Mahogany|Silver berserker|White|Yellow determined|Red tribal|Gold short long|Smirk|Red shadow mask|Brown wuxia|Silver red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5338
78|997.0155844933802|2644|Genesis Kami #2644|Flint black purple thunder|None|Brown|Sky blue angry eyes|Red gangster suit|Gold spear|Mild smile|Blue cyberpunk glasses|White slick hair|White satan horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2644
79|996.7467686438425|2854|Genesis Kami #2854|Umber|None|White|Pink gentle|Gray turtle|Sky blue feather|Mild smile|Blue sunglasses|Red wuxia|Black mafia hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2854
80|996.2159260016449|1937|Genesis Kami #1937|Hazulnut grass flower|Brush|Cream|Pink gentle|Purple white hood|nail|Green gum|Green cyberpunk glasses|White madara|Angry mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1937
81|995.2405118079389|5372|Genesis Kami #5372|Wood|Katana 1|Cream|Green good boy|Black gangster suit|Silver double long right|Cigar|White kamen|Brown under cut|White satan horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5372
82|994.9457801020287|3328|Genesis Kami #3328|Spruce blue kiminari|Silver berserker|Cream|White strained|Black gold clown|Gold dot|Mild smile|Red shadow mask|Mint slick hair|Gold baphomet horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3328
83|987.7683570998307|4681|Genesis Kami #4681|Pistachio fresh leaves|Gray scythe|Brown|Pink determined|Black fur|Silver double long right|Neutral|Red anti toxic mask|White harajuku|Angel ring|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4681
84|987.2519333966295|5248|Genesis Kami #5248|Oat|None|Cream|Green gentle|Black fur|Silver double long right|Smirk|Gold anti toxic mask|Black japan bangs|White devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5248
85|986.8583702541933|1221|Genesis Kami #1221|Chocolate black red thunder|Purple wand|Cream|White cold|Gray turtle|Silver ring 3|Green gum|Gold opera kamen|Brown shonen|Black baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1221
86|982.0452915308888|937|Genesis Kami #937|Chocolate black red thunder|Purple wand|White|Pink strained|Blue gangster suit|Silver ring 2|Green gum|Mekakushi houtai|Gray shonen|White cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/937
87|981.5938665647643|1981|Genesis Kami #1981|Rosewood|None|White|Purple angry eyes|White hood|Silver chain|Black rose|Blue sunglasses|Gray slick hair|White minotaur horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1981
88|977.6162639980905|4104|Genesis Kami #4104|Chocolate maple leaf|Red scythe|White|Pink grievous|Black gold pimp|Gold double ring right 2|Smirk|Blue sunglasses|Brown oppa|White minotaur horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4104
89|977.5552498872169|4388|Genesis Kami #4388|Porpoise forest fairy|Katana 2|Brown|Purple good boy|Purple gakuran|Gold short long|Smirk|Red anti toxic mask|White disheveled|Black kitsune ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4388
90|974.3370187292994|1644|Genesis Kami #1644|Spruce blue kiminari|None|White|White determined|Black gakuran|Gold double long right|Smile|Anti toxic mask|Brownish orange shonen|White magic hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1644
91|973.4097803373561|232|Genesis Kami #232|Seaweed|Red scythe|White|Black cold|Black hood|Silver chain|Black rose|Blue sunglasses|Purple disheveled|White satan horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/232
92|972.5502452628328|4618|Genesis Kami #4618|Oat grass flower|Silver buster sword|Black|Yellow determined|Red biker jacket|Silver chain|Blue rose|Gold cyberpunk glasses|Black wuxia|Rad devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4618
93|969.4976316615071|831|Genesis Kami #831|Fossil kase|Berserker blade|Cream|Purple gentle|Red hood|Silver ring 3|Smirk|Red anti toxic mask|Gold nippon|Angry mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/831
94|968.8838169973827|4724|Genesis Kami #4724|Chocolate black red thunder|Gray scythe|Titanium|Red grievous|Black shirt|Gold double ring right 1|Pink gum|White opera kamen|Mint shonen|Joker mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4724
95|968.4234538339592|2387|Genesis Kami #2387|Colud blue kaminari|None|Titanium|Red cold|Black fur|Black spear|Green gum|Bandage cheek & nose|Black long hair|White satan horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2387
96|968.2155495361387|4523|Genesis Kami #4523|Immortal galaxy sakura|Katana 2|Titanium|White strained|Green kimono|Purple white fluffy|Green gum|Houtai cheek left|White cornrow braids|Black tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4523
97|967.3427490916937|5513|Genesis Kami #5513|Porpoise blue thunder|None|Brown|Sky blue grievous|Blue cape|Silver dot|Smile with teeth|Red anti toxic mask|Gray harajuku|Gold sky blue imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5513
98|966.2941633282164|5052|Genesis Kami #5052|Shadow|None|White|Pink strained|Jacket hood|Gold ring 1|Gritted|Green anti toxic mask|Gray wuxia|Horror mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5052
99|961.7778859798218|2750|Genesis Kami #2750|Oat grass flower|Brush|Cream|Red aggressive|White cape|Black spear|Smile|Black kamen|Gray long hair|Black mafia hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2750
100|960.7612450940879|4959|Genesis Kami #4959|Seaweed|Silver buster sword|Cream|Yellow demon|Black fur|Silver ring 1|Neutral|Green anti toxic mask|White wuxia|Black kitsune ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4959
101|956.8151771014656|92|Genesis Kami #92|Pink sakura|None|Gray|White aggressive|Blue cape|White feather|Smile|Eyepatch|Mint harajuku|Rad devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/92
