rank|name|score|link|Background|Body|Tattoo|Nose|Mouth|Eyes|On eyes|Clothes|Accessorie|Head|Smokes
30|Oliens #49|473.0158790983122|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/48|haha |gray bluish ||big fat nose |wide mouth|sus eyes||green vintage shirt ||short wavy hair |
31|Oliens #1821|471.00103166286596|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1820|glittery night sky |light skin ||bignose |small lips|cool eyes ||cowboy shirt vintage ||rice hat |
32|Oliens #193|468.0975361119174|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/192|haha |green ||bignose |wild mouth |tierd eyes sinning ||deep green vintage shirt ||short hair |cigarette 
33|Oliens #1562|466.6793454652084|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1561|galaxy |light lime yellow ||big fat nose |wild mouth |Oeyes shiny ||decolte ||bald |
34|Oliens #1439|465.7573484466582|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1438|black and purple |pink ||nose2 |wild mouth |joker eyes ||red suit ||head band |
35|Oliens #2060|465.4087708191557|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2059|light blue |sky blue body ||wierd nose |wondering mouth |punky eyes ||under shirt ||rice hat |cigarette 
36|Oliens #877|455.34230605262604|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/876|pizza planet |green ||big fat nose |wondering mouth |bruised eye ||red Tshirt |gold ring|head band |
37|Oliens #759|452.75390736282844|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/758|orange to purple |light virdian |will i ever go home tattoo |nose2 |wondering mouth |tierd eyes ||purple vintage shirt |gold ring|egyptian|
38|Oliens #1308|451.78577301289283|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1307|ice latte back |light skin ||funny nose |joker mouth|bruised eye ||black suit & red tie ||braid black|
39|Oliens #715|450.35441956923626|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/714|haha |baby blue ||big fat nose |wide mouth|tierd eyes ||pink shirt with a line ||bald |
40|Oliens #1718|446.1023945707079|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1717|blackhole |sky blue body ||Onose |wild mouth |punky eyes ||red Tshirt ||rice hat |
41|Oliens #1078|432.47895248215224|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1077|brown and blue |sun burn white skin ||Onose |open mouth |cool eyes |sun glasses |blue suit ||cap |
42|Oliens #667|427.98349676401966|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/666|shades of gray |dark brown ||funny nose |open mouth |punky eyes |sun glasses |navy suit ||black robe and dark sing |
43|Oliens #1461|422.52531450467166|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1460|galaxy |light skin ||Onose |wild mouth |cool eyes ||navy suit ||cap |blunt 
44|Oliens #1133|420.24250972959845|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1132|pink back |green ||wierd nose |closed mouth |sus eyes||pizza planet guy t shirt ||egyptian|
45|Oliens #215|417.9536002111635|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/214|glittery night sky |pale lime yellow ||Onose |wondering mouth |cool eyes ||decolte ||bald |
46|Oliens #1928|415.40215561357917|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1927|orange |baby blue ||nose2 |wild mouth |tierd eyes sinning ||pink shirt with a line ||cap |cigarette 
47|Oliens #1732|406.9222174492264|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1731|purple back |raw umber |tear tattoo |Onose |wondering mouth |joker eyes ||blue bathrobe ||white long hair |
48|Oliens #1798|402.78429841505334|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1797|wormhole |light lime yellow ||Onose |wondering mouth |cool eyes ||green suit |gold ring|cap |
49|Oliens #1390|402.6368220489848|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1389|black and purple |dark brown |fuck off tattoo |funny nose |closed mouth |joker eyes |sun glasses |pizza planet guy t shirt ||black long hair |
50|Oliens #1561|396.3962653412253|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1560|pizza planet |raw umber ||Onose |wondering mouth |cool eyes |sun glasses |jedi robe ||marron cowboy hat |
51|Oliens #36|394.374496376143|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/35|orange to purple |bunrt umber |stiches |nose2 |wide mouth|punky eyes ||purple cowboy shirt |silver ring |head band |cigarette 
52|Oliens #180|388.2781617605007|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/179|pink to blue |sun burn white skin ||funny nose |wondering mouth |punky eyes ||triditional robe ||head band |
53|Oliens #1337|386.4970402520347|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1336|blackhole |dark brown ||Onose |wild mouth |tierd eyes ||simple gray vintage shirt |silver ring |egyptian|
54|Oliens #806|384.3039826718353|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/805|wine red |pickle green ||wierd nose |wondering mouth |cool eyes ||black suit ||cap |blunt 
55|Oliens #1271|379.9139423277048|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1270|sangria red |pale lime yellow ||Onose |wondering mouth |tierd eyes ||simple gray vintage shirt ||cap |
56|Oliens #1751|379.25279561790666|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1750|black and purple |gray bluish ||wierd nose |wide mouth|sus eyes||vintage shirt with a line |silver ring |black robe and dark sing |
57|Oliens #1793|374.60506878484347|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1792|brown and blue |gray bluish ||big fat nose |wide mouth|tierd eyes sinning ||simple green Tshirt ||egyptian|
58|Oliens #143|374.0266951307468|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/142|brown and blue |bunrt umber ||Onose |wondering mouth |punky eyes ||magenta shirt with a line ||black robe and dark sing |
59|Oliens #1049|371.8295606726529|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1048|gray |light skin ||wierd nose |closed mouth |Oeyes ||blue Tshirt ||black robe and dark sing |blunt 
60|Oliens #1869|370.2935849121072|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1868|glittery night sky |sky blue body ||wierd nose |wide mouth|cool eyes |sun glasses |orange shirt with a line ||cap |
61|Oliens #2125|370.0186552435799|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2124|wormhole |green ||Onose |small lips|sus eyes||blue suit ||egyptian|
62|Oliens #604|367.33471972342005|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/603|red drapes |pink ||Onose |wide mouth|cool eyes ||black suit ||cap |
63|Oliens #571|366.3917856980375|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/570|pink back |green ||funny nose |wide mouth|bored eyes ||under shirt ||egyptian|
64|Oliens #1503|364.7680544891877|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1502|red drapes |sun burn white skin ||nose2 |wondering mouth |sus eyes||pink bathrobe ||black robe and dark sing |
65|Oliens #1721|363.9584714160794|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1720|glittery night sky |light virdian ||wierd nose |wondering mouth |bored eyes ||light pink cowboy shirt ||egyptian|
