rank|name|score|link|Background|Mask|Eye|Mouth|Head|Holo Suit
8|Holo Mask : Blue #4278|784.6562473193992|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/4278|Sky|Jazlyn White 2 Color|Parker|Myla|Vincent Blue|Christopher Blue
8|Holo Mask : Blue #4333|784.6562473193992|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/4333|Sky|Hannah 2 Color|Evan|Nina|Damian Blue|Nicholas Blue
33|Holo Mask : Blue #309|784.6336485355137|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/309|Irvin|Zoey 2 Color|Everett|Kayla|Harrison Blue|Thomas Blue
33|Holo Mask : Blue #385|784.6336485355137|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/385|Irvin|Jenna White 2 Color|Kayden|Nira|Ayden Blue|Ryan Blue
33|Holo Mask : Blue #1077|784.6336485355137|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1077|Irvin|Julie White 2 Color|Micah|Katie|Cole Blue|Aiden Blue
33|Holo Mask : Blue #1334|784.6336485355137|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1334|Irvin|Emily 2 Color|Jose|Mila|Luca Blue|Dylan Blue
33|Holo Mask : Blue #1345|784.6336485355137|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1345|Irvin|Hannah 2 Color|Evan|Katie|George Blue|Austin Blue
33|Holo Mask : Blue #1780|784.6336485355137|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1780|Irvin|Madison 2 Color|Kayden|Nellie|Gael Blue|Mason Blue
33|Holo Mask : Blue #2126|784.6336485355137|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2126|Irvin|Ellie 2 Color|Jameson|Mabel|Harrison Blue|Dominic Blue
33|Holo Mask : Blue #2482|784.6336485355137|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2482|Irvin|Chloe 2 Color|Jason|Nadia|Chase Blue|Henry Blue
33|Holo Mask : Blue #2888|784.6336485355137|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2888|Irvin|Natalie 2 Color|Xavier|Luna|Ayden Blue|Jacob Blue
33|Holo Mask : Blue #2968|784.6336485355137|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2968|Irvin|Emma 2 Color|Luca|Mayda|Diego Blue|Caleb Blue
33|Holo Mask : Blue #3003|784.6336485355137|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3003|Irvin|Elizabeth 2 Color|Luca|Lainey|Brandon Blue|Mason Blue
33|Holo Mask : Blue #3042|784.6336485355137|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3042|Irvin|Aria 2 Color|Jose|Nyla|Ryker Blue|Nolan Blue
33|Holo Mask : Blue #3213|784.6336485355137|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3213|Irvin|Olivia 2 Color|Axel|Morine|Chase Blue|Elijah Blue
33|Holo Mask : Blue #3571|784.6336485355137|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3571|Irvin|Riley 2 Color|Micah|Nyla|Tyler Blue|Robert Blue
33|Holo Mask : Blue #3963|784.6336485355137|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3963|Irvin|Ellie 2 Color|Micah|Nyla|Vincent Blue|Eli Blue
33|Holo Mask : Blue #4274|784.6336485355137|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/4274|Irvin|Ava 2 Color|Jason|Mayda|Ryder Blue|Landon Blue
49|Holo Mask : Blue #2528|784.5489112815358|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2528|Sky|Jazmin White 2 Color|Ayden|Kate|Ayden Blue|Joseph Blue
50|Holo Mask : Blue #2122|784.5263124976503|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/2122|Irvin|Karina White 2 Color|Ayden|Luna|Tyler Blue|Asher Blue
51|Holo Mask : Blue #1651|784.4211367724829|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1651|Sky|Madison 2 Color|Axel|Laura|Emmett Blue|Carter Blue
52|Holo Mask : Blue #3265|784.3600324720048|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3265|Sky|Lily 2 Color|Wesley|Merlie|Kingston Blue|Andrew Blue
53|Holo Mask : Blue #46|780.4319660174273|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/46|Sky|Kadey White 2 Color|Jace|Oda|Wesley Blue|Christian Blue
53|Holo Mask : Blue #3741|780.4319660174273|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/3741|Owen|Leah 2 Color|Jameson|Oda|Ivan Blue|Theodore Blue
55|Holo Mask : Blue #1461|779.1503857843406|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/1461|Sky|Sofia 2 Color|Micah|Lilly|Zachary Blue|Nathan Blue
56|Holo Mask : Blue #65|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/65|Trey|Evelyn 2 Color|Kayden|Nellie|Cole Blue|Logan Blue
56|Holo Mask : Blue #73|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/73|Trey|Ellie 2 Color|Evan|Nina|Luis Blue|Logan Blue
56|Holo Mask : Blue #121|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/121|Trey|Kalin White 2 Color|Axel|Melda|George Blue|Joseph Blue
56|Holo Mask : Blue #243|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/243|Trey|Leah 2 Color|Luca|Kate|Kai Blue|Aaron Blue
56|Holo Mask : Blue #303|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/303|Trey|Leah 2 Color|Jameson|Lucia|Ryker Blue|Jeremiah Blue
56|Holo Mask : Blue #315|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/315|Trey|Ava 2 Color|Parker|Lucia|Bennett Blue|Grayson Blue
56|Holo Mask : Blue #355|779.0762950898837|https://quixotic.io/asset/0x0D21136236C0731378286BE2Ea3611A19280DD56/355|Trey|Layla 2 Color|Xavier|Nira|Wesley Blue|Levi Blue
