rank|score|token_id|name|background|body|clothes|eyewear|head|mouth|link
1|9999|55|Nerd Ape Dao #55|Fire Nerd||||||https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/55
1|9999|281|Nerd Ape Dao #281|Cyber Nerd||||||https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/281
1|9999|649|Nerd Ape Dao #649|Wukong Nerd||||||https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/649
1|9999|892|Nerd Ape Dao #892|Cosmic Nerd||||||https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/892
1|9999|1299|Nerd Ape Dao #1299|Lightning Nerd||||||https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1299
6|305.19457243902275|1221|Nerd Ape Dao #1221|Gray|Dark brown|Stripedtee|Half Robot|Biker helmet|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1221
7|298.7426793184369|488|Nerd Ape Dao #488|Gray|Black|White shirt ribbon|Solar_beam|Biker helmet|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/488
8|294.97419454006354|777|Nerd Ape Dao #777|Light purple|Water|Banana hawaii|Shy|Brown camping hat|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/777
9|285.26543536566965|1102|Nerd Ape Dao #1102|Gray|Tiger|Lab|Oneeye|Propeller cap|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1102
10|277.13397479627207|149|Nerd Ape Dao #149|Gray|Pink|Lab|Square|Blue cap|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/149
11|268.5043880012033|142|Nerd Ape Dao #142|Light purple|Red|White shirt ribbon|Eyepatch|Brown camping hat|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/142
12|266.3367119625869|971|Nerd Ape Dao #971|Gray|Cream|Brown jacket|Angry|White bucket hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/971
13|263.56916386083054|888|Nerd Ape Dao #888|Gray|Cream|Pink fur|Wide_eyes|None|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/888
14|260.6124230202099|804|Nerd Ape Dao #804|Yellow|Cream|Blue vest|Red|Brown camping hat|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/804
15|259.65165973067025|847|Nerd Ape Dao #847|Red|Tiger|Red singlet|Glasses|Brown camping hat|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/847
16|251.89312660455835|339|Nerd Ape Dao #339|Gray|Cream|Sheriff|X|Gold hair|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/339
17|251.8922849585666|1112|Nerd Ape Dao #1112|Red|Pink|Rasta hawaii|Oneeye|Brown camping hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1112
18|250.10644492442628|1134|Nerd Ape Dao #1134|Beige|Lav|Lab|Half Robot|Rasta hat|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1134
19|248.238085361462|661|Nerd Ape Dao #661|Light green|White|Flower Hawaii|Square|Staw hat|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/661
20|245.70010985590946|619|Nerd Ape Dao #619|Beige|Gray|White singlet|ETH|Brown camping hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/619
21|245.66366700495917|500|Nerd Ape Dao #500|Gray|Robot|Green jacket|Red|Green beret|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/500
22|244.49568203467493|577|Nerd Ape Dao #577|Green mint|Black|Adventure|Red|Brown camping hat|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/577
23|243.87093000135044|277|Nerd Ape Dao #277|Light green|Red|Black tee|Hearteye|Fastfood|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/277
24|242.08863633375213|175|Nerd Ape Dao #175|Blue|Light brown|White fur|Black Nerd|Brown camping hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/175
25|240.26985530337433|301|Nerd Ape Dao #301|Light green|Robot|None|X|Biker helmet|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/301
26|239.84699489079964|283|Nerd Ape Dao #283|Gray|Pink|Black hoodie|Black Nerd|Rose headscarf|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/283
27|239.60388420933424|61|Nerd Ape Dao #61|Blue|Dark brown|Red tee|Demon|Brown camping hat|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/61
28|239.41291598492413|431|Nerd Ape Dao #431|Gray|Cream|White fur|Heart|Blue headscarf|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/431
29|239.24709398393608|409|Nerd Ape Dao #409|Light green|Red|Black leather|Sleepy|Pink bucket|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/409
