rank|score|token_id|name|background|body|clothes|eyewear|head|mouth|link
307|146.81365816919012|419|Nerd Ape Dao #419|Yellow|Light brown|Goldchain|Glasses|Demon horns|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/419
308|146.75293250482903|404|Nerd Ape Dao #404|Beige|Gray|Brown vest|Dizzy|Red bob|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/404
309|146.72429128626192|1182|Nerd Ape Dao #1182|Red|Zombie|Goldchain|Demon|Biker helmet|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1182
310|146.708313207487|349|Nerd Ape Dao #349|Red|Lav|Silverchain|Angry|Rasta hat|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/349
311|146.6471336279009|1248|Nerd Ape Dao #1248|Blue|Zombie|Green jacket|X|Blue headscarf|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1248
312|146.63670738677226|285|Nerd Ape Dao #285|Light purple|Cream|Brown vest|Hearteye|Pink bucket|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/285
313|146.11084637367753|461|Nerd Ape Dao #461|Beige|Gold|Rasta hawaii|Red|Green beret|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/461
314|146.07946007302613|432|Nerd Ape Dao #432|Light purple|Red|Yellow shirt|X|Fastfood|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/432
315|146.05668855713142|1048|Nerd Ape Dao #1048|Green mint|Tiger|White shirt ribbon|Oneeye|Pirate hat|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1048
316|146.03990985315426|420|Nerd Ape Dao #420|Blue|Robot|Pink fur|Angry|Pink beanie|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/420
317|145.94209072778776|306|Nerd Ape Dao #306|Beige|Gold|White shirt ribbon|Glasses|Blue cap|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/306
318|145.88621430175468|733|Nerd Ape Dao #733|Pink|Black|Black sleeveless|ETH|Demon horns|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/733
319|145.83247328261754|864|Nerd Ape Dao #864|Green mint|Red|Brown coat|Sleepy|Gold hair|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/864
320|145.73812485432154|906|Nerd Ape Dao #906|Beige|Zombie|Tech jacket|Oneeye|Cowboy hat|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/906
321|145.73688879408925|560|Nerd Ape Dao #560|Green mint|Gray|Judo|3D|Rasta hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/560
322|145.6718704036286|386|Nerd Ape Dao #386|Yellow|Pink|Yellow shirt|Eyepatch|Demon horns|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/386
323|145.52079541702182|817|Nerd Ape Dao #817|Red|Lav|Brown vest|Oneeye|Green beanie|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/817
324|145.3997580377242|52|Nerd Ape Dao #52|Light purple|Dark brown|Flower Hawaii|X|Staw hat|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/52
325|145.3700960717465|1174|Nerd Ape Dao #1174|Beige|Tiger|Fastfood|Wide_eyes|Biker helmet|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1174
326|145.1515041703765|11|Nerd Ape Dao #11|Pink|Light brown|Pirate|ETH|Propeller cap|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/11
327|145.07730694100465|38|Nerd Ape Dao #38|Pink|Zombie|Judo|Hearteye|Adventure hat|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/38
328|145.00351039258337|969|Nerd Ape Dao #969|Pink|Gray|Blue vest|ETH|Propeller cap|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/969
329|144.99997185277815|587|Nerd Ape Dao #587|Beige|Lav|Black suit|Sleepy|Rose headscarf|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/587
330|144.92752316172843|81|Nerd Ape Dao #81|Light purple|Lav|Black jacket|Square|Rasta hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/81
331|144.90308039357072|633|Nerd Ape Dao #633|Yellow|Robot|Black suit|Sleepy|Red bob|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/633
332|144.81948013158504|172|Nerd Ape Dao #172|Pink|Cream|Tech jacket|Oval|Black beanie|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/172
333|144.7985095450247|43|Nerd Ape Dao #43|Yellow|Light brown|Pirate|Gold|Propeller cap|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/43
334|144.63988218229065|931|Nerd Ape Dao #931|Red|Lav|Black vest|Sleepy|Apple|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/931
335|144.49623066845254|1216|Nerd Ape Dao #1216|Yellow|Cream|Green jacket|Red|Propeller cap|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1216
336|144.3397881292236|532|Nerd Ape Dao #532|Yellow|Cream|Flower Hawaii|Faded|Rasta hat|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/532
337|144.3027995674786|708|Nerd Ape Dao #708|Pink|Gray|Yellow shirt|Hearteye|Green beret|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/708
338|144.24564315326273|960|Nerd Ape Dao #960|Yellow|Gold|White shirt ribbon|Demon|White bucket hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/960
339|144.24552611354864|807|Nerd Ape Dao #807|Light purple|Gold|Hawaii|Red|Newsboy cap|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/807
340|144.2044689628141|1091|Nerd Ape Dao #1091|Light purple|Zombie|Blue vest|Hearteye|Staw hat|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1091
341|144.1893491466229|1293|Nerd Ape Dao #1293|Light purple|Red|White fur|Dizzy|Pink bucket|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1293
342|144.18384105053684|1093|Nerd Ape Dao #1093|Yellow|White|Judo|Round Glasses|Pirate hat|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1093
343|144.17405991150306|1252|Nerd Ape Dao #1252|Light purple|Tiger|Black suit|Oval|Black beanie|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1252
344|144.1338706446991|515|Nerd Ape Dao #515|Light purple|Lav|Black sleeveless|White Round|Demon horns|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/515
345|144.0735964493392|1096|Nerd Ape Dao #1096|Green mint|Pink|Judo|Heart|Demon horns|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1096
346|144.06558277237596|442|Nerd Ape Dao #442|Blue|Red|Rasta hawaii|Square|Rasta hat|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/442
347|144.03037126211282|689|Nerd Ape Dao #689|Red|Robot|Black vest|Gold|White bucket hat|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/689
348|143.91759049127413|466|Nerd Ape Dao #466|Yellow|Robot|Pink fur|X|Pink bucket|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/466
349|143.81665361478542|46|Nerd Ape Dao #46|Green mint|Cream|Brown vest|Hearteye|Demon horns|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/46
350|143.71954150971706|236|Nerd Ape Dao #236|Blue|Gray|Brown vest|Gold|Adventure hat|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/236
351|143.71943197872517|1208|Nerd Ape Dao #1208|Blue|White|Brown vest|Shy|Pink bucket|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1208
352|143.70196149201306|1162|Nerd Ape Dao #1162|Green mint|Pink|Red singlet|Shy|Fastfood|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1162
353|143.69484612048035|2|Nerd Ape Dao #2|Green mint|Gold|Green jacket|ETH|Fastfood|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/2
354|143.6353992666606|176|Nerd Ape Dao #176|Red|Lav|Yellow shirt|Wide_eyes|Black top hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/176
355|143.57302079428638|230|Nerd Ape Dao #230|Pink|White|Brown jacket|Heart|Pink beanie|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/230
356|143.56709800431034|567|Nerd Ape Dao #567|Beige|Water|None|Demon|Red bob|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/567
357|143.5254682945441|980|Nerd Ape Dao #980|Blue|Pink|Green jacket|ETH|Rose headscarf|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/980
358|143.36956540983437|57|Nerd Ape Dao #57|Green mint|Tiger|Adventure|Black Nerd|Gold crown|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/57
359|143.323778280543|1220|Nerd Ape Dao #1220|Yellow|Water|Tech jacket|Fasion|Rose headscarf|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1220
360|143.31362593739948|352|Nerd Ape Dao #352|Beige|Red|Stripedtee|Oval|Rose headscarf|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/352
361|143.2828343437676|1267|Nerd Ape Dao #1267|Beige|Gray|Black vest|Oneeye|Gold hair|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1267
362|143.20391696715788|628|Nerd Ape Dao #628|Blue|Gray|Yellow shirt|Round Glasses|Blue headscarf|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/628
363|143.1918449287148|458|Nerd Ape Dao #458|Yellow|Gray|Blue vest|Gold|Black top hat|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/458
364|143.17516616246874|846|Nerd Ape Dao #846|Green mint|Zombie|Dark blue suit|X|Black top hat|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/846
365|143.17078258543927|787|Nerd Ape Dao #787|Beige|Cream|Pink hoodie|Shy|Rasta hat|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/787
366|143.1149680338384|639|Nerd Ape Dao #639|Green mint|Light brown|White fur|Hearteye|Red bob|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/639
367|143.03220449605507|26|Nerd Ape Dao #26|Pink|Gray|Blue vest|3D|Pirate hat|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/26
368|143.01885812434813|341|Nerd Ape Dao #341|Green mint|White|Black jacket|ETH|Red bob|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/341
369|143.01518730430223|1222|Nerd Ape Dao #1222|Yellow|Zombie|White fur|ETH|Fastfood|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1222
370|142.95328955453886|1265|Nerd Ape Dao #1265|Green mint|Tiger|Judo|Close|Green beanie|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1265
371|142.94646463882904|474|Nerd Ape Dao #474|Yellow|White|Tech jacket|Square|Apple|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/474
372|142.93512201750278|1028|Nerd Ape Dao #1028|Red|Gray|White shirt ribbon|Demon|Black beanie|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1028
373|142.9086281036741|744|Nerd Ape Dao #744|Pink|Dark brown|White singlet|Close|None|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/744
374|142.9010291763508|375|Nerd Ape Dao #375|Green mint|Gray|Brown coat|Fasion|Blue headscarf|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/375
375|142.89720474622612|843|Nerd Ape Dao #843|Pink|Robot|Flower Hawaii|Cyberpunk|Gold hair|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/843
376|142.89407413729754|1041|Nerd Ape Dao #1041|Beige|Light brown|Blue vest|Red|Fastfood|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1041
377|142.86332706271855|117|Nerd Ape Dao #117|Blue|Cream|Flower Hawaii|Glasses|Fastfood|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/117
378|142.81144581931167|794|Nerd Ape Dao #794|Red|Water|Pink fur|Square|Demon horns|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/794
379|142.8099861628464|273|Nerd Ape Dao #273|Pink|Robot|Yellow shirt|Close|Apple|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/273
380|142.74384068079502|184|Nerd Ape Dao #184|Green mint|Robot|Pirate|Square|Biker helmet|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/184
381|142.6732531192879|76|Nerd Ape Dao #76|Blue|Robot|None|Wide_eyes|None|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/76
382|142.60864899651463|1331|Nerd Ape Dao #1331|Light purple|Pink|Brown coat|Fasion|Red bob|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1331
383|142.49542565109573|48|Nerd Ape Dao #48|Beige|Lav|Dark blue suit|Gold|Adventure hat|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/48
384|142.4826229100478|1239|Nerd Ape Dao #1239|Green mint|Tiger|Pink fur|Oval|Red bob|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1239
385|142.45932873806657|262|Nerd Ape Dao #262|Yellow|Pink|Judo|Angry|Green beret|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/262
386|142.4346254574375|90|Nerd Ape Dao #90|Light purple|Water|Brown vest|Oneeye|Propeller cap|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/90
387|142.38638638477815|677|Nerd Ape Dao #677|Yellow|Light brown|Black hoodie|Close|Demon horns|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/677
388|142.36626146115464|1016|Nerd Ape Dao #1016|Pink|Pink|Sheriff|Heart|Blue headscarf|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1016
389|142.33625433496107|1111|Nerd Ape Dao #1111|Beige|Cream|Judo|Faded|Pirate hat|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1111
390|142.30812623729074|903|Nerd Ape Dao #903|Green mint|Light brown|Black suit|Shy|Pink bucket|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/903
391|142.24565242806412|1242|Nerd Ape Dao #1242|Beige|Robot|Flower Hawaii|Cyberpunk|Pink bucket|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1242
392|142.2320988685264|837|Nerd Ape Dao #837|Red|Pink|Silverchain|ETH|Pirate hat|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/837
393|142.08225393369858|1064|Nerd Ape Dao #1064|Beige|Zombie|Stripedtee|Wide_eyes|Propeller cap|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1064
394|142.0444072333042|1161|Nerd Ape Dao #1161|Green mint|Dark brown|White singlet|Faded|None|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1161
395|141.97409557304104|881|Nerd Ape Dao #881|Yellow|White|Pink hoodie|Glasses|Pink beanie|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/881
396|141.9535010425224|35|Nerd Ape Dao #35|Pink|Robot|Fastfood|Square|Pink bucket|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/35
397|141.91568300123927|653|Nerd Ape Dao #653|Red|Lav|Stripedtee|White Round|Green beanie|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/653
398|141.90965170900986|822|Nerd Ape Dao #822|Light purple|Light brown|Overalls|X|Red bob|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/822
399|141.90710965871426|1092|Nerd Ape Dao #1092|Light purple|White|Black suit|ETH|Staw hat|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1092
400|141.88155879217135|1236|Nerd Ape Dao #1236|Pink|Gold|Blue vest|Dizzy|Pirate hat|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1236
401|141.86310918033885|607|Nerd Ape Dao #607|Yellow|Cream|Tech jacket|Cyberpunk|Red bob|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/607
402|141.84020147573318|618|Nerd Ape Dao #618|Pink|Water|Yellow shirt|Fasion|Pirate hat|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/618
403|141.82878290895744|1073|Nerd Ape Dao #1073|Pink|White|Black suit|Angry|White bucket hat|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1073
404|141.81723414461214|770|Nerd Ape Dao #770|Light purple|Lav|Adventure|Red|Gold hair|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/770
405|141.803347088796|700|Nerd Ape Dao #700|Yellow|Dark brown|Brown coat|Gold|Rose headscarf|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/700
406|141.75533750020097|930|Nerd Ape Dao #930|Blue|Gold|White fur|X|Pink beanie|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/930
407|141.74978531179173|1107|Nerd Ape Dao #1107|Light purple|Pink|Black vest|Oval|Rasta hat|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1107
408|141.72103069689777|494|Nerd Ape Dao #494|Beige|Gold|Rasta hawaii|Demon|Gold hair|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/494
409|141.705759458435|818|Nerd Ape Dao #818|Blue|Lav|Pink fur|Fasion|Rasta hat|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/818
410|141.70154347272265|1080|Nerd Ape Dao #1080|Pink|Cream|Brown coat|Oneeye|Demon horns|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1080
411|141.69323402397586|985|Nerd Ape Dao #985|Beige|Black|Black jacket|Wide_eyes|Demon horns|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/985
412|141.57474943904262|1003|Nerd Ape Dao #1003|Blue|White|Tech jacket|Black Nerd|Pink bucket|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1003
413|141.50335822366665|1225|Nerd Ape Dao #1225|Blue|Robot|Goldchain|Eyepatch|Biker helmet|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1225
414|141.45175841679895|832|Nerd Ape Dao #832|Blue|White|Goldchain|Demon|Black beanie|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/832
415|141.28616112020367|450|Nerd Ape Dao #450|Green mint|Water|Dark blue suit|Oneeye|Pink bucket|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/450
416|141.2735522109496|192|Nerd Ape Dao #192|Pink|Red|Black leather|Close|Red bob|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/192
417|141.2301727835726|617|Nerd Ape Dao #617|Pink|Cream|Adventure|Red Cat|None|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/617
418|141.230148584007|1023|Nerd Ape Dao #1023|Blue|Gray|Judo|Oneeye|Apple|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1023
419|141.202775723053|331|Nerd Ape Dao #331|Yellow|Black|Brown coat|Square|Apple|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/331
420|141.06222706073487|713|Nerd Ape Dao #713|Pink|Gold|Pink hoodie|Wide_eyes|Rose headscarf|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/713
421|141.05887506490956|449|Nerd Ape Dao #449|Red|Water|Brown vest|Oval|Newsboy cap|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/449
422|141.0110949398915|834|Nerd Ape Dao #834|Blue|Gray|Pink fur|Angry|Cowboy hat|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/834
423|140.92423119565098|1304|Nerd Ape Dao #1304|Pink|Gray|Goldchain|Shy|Green beanie|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1304
424|140.90920069090802|716|Nerd Ape Dao #716|Light purple|White|Pink hoodie|Fasion|Demon horns|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/716
425|140.90319193452186|153|Nerd Ape Dao #153|Yellow|Tiger|Black vest|Round Glasses|Pink bucket|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/153
426|140.87480277135006|1072|Nerd Ape Dao #1072|Yellow|Tiger|Purple hoodie|Red|Gold hair|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1072
427|140.8599669292085|940|Nerd Ape Dao #940|Red|White|Pink fur|ETH|Pink bucket|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/940
428|140.82087631800687|1061|Nerd Ape Dao #1061|Yellow|Red|Pirate|Cyberpunk|Pirate hat|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1061
429|140.81037489283116|657|Nerd Ape Dao #657|Yellow|Zombie|Stripedtee|Close|Newsboy cap|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/657
430|140.80688969868797|519|Nerd Ape Dao #519|Blue|Red|Purple hoodie|ETH|Propeller cap|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/519
431|140.80569443004674|913|Nerd Ape Dao #913|Green mint|Pink|Pirate|Glasses|Cowboy hat|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/913
432|140.78003018334658|359|Nerd Ape Dao #359|Yellow|Robot|Purple hoodie|Gold|Gold hair|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/359
433|140.7706600071071|512|Nerd Ape Dao #512|Yellow|Dark brown|Yellow shirt|X|Pink bucket|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/512
434|140.7638176323161|646|Nerd Ape Dao #646|Yellow|Red|Purple hoodie|Oval|Propeller cap|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/646
435|140.74639586281376|293|Nerd Ape Dao #293|Red|Zombie|Fastfood|Eyepatch|Newsboy cap|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/293
436|140.7269788897207|344|Nerd Ape Dao #344|Light purple|White|Pirate|Faded|Pirate hat|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/344
437|140.69472870402188|1019|Nerd Ape Dao #1019|Blue|Gray|Overalls|ETH|Gold hair|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1019
438|140.6671325381924|215|Nerd Ape Dao #215|Blue|Pink|None|Sleepy|None|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/215
439|140.65590213220892|207|Nerd Ape Dao #207|Red|Robot|Fastfood|Round Glasses|Gold hair|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/207
440|140.6391759402955|49|Nerd Ape Dao #49|Pink|Zombie|Black hoodie|White Round|Green beanie|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/49
441|140.54506142590634|1240|Nerd Ape Dao #1240|Blue|Tiger|Tuxedo|Red|Pink beanie|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1240
442|140.51071328793427|167|Nerd Ape Dao #167|Light purple|Robot|Stripedtee|Gold|Adventure hat|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/167
