rank|score|token_id|name|background|body|clothes|eyewear|head|mouth|link
125|168.88017083567146|401|Nerd Ape Dao #401|Blue|Red|Banana hawaii|Eyepatch|Propeller cap|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/401
126|168.79500050785515|664|Nerd Ape Dao #664|Pink|White|Silverchain|Red Beam|Blue cap|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/664
127|168.60313814664443|462|Nerd Ape Dao #462|Yellow|White|Hawaii|Red Beam|Newsboy cap|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/462
128|168.10948766715845|632|Nerd Ape Dao #632|Red|Cream|Red singlet|Solar_beam|White bucket hat|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/632
129|167.9774445768643|869|Nerd Ape Dao #869|Beige|Tiger|Banana hawaii|Dizzy|Propeller cap|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/869
130|167.58999741296918|224|Nerd Ape Dao #224|Green mint|Gray|Dark blue suit|Angry|Gold crown|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/224
131|167.55087489610642|476|Nerd Ape Dao #476|Yellow|Dark brown|Hawaii|Red Beam|White bucket hat|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/476
132|167.4694568977151|597|Nerd Ape Dao #597|Beige|Gold|Red singlet|Red Cat|None|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/597
133|167.45380504505326|362|Nerd Ape Dao #362|Red|Gray|Brown jacket|Glasses|Rasta hat|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/362
134|167.2470057230706|438|Nerd Ape Dao #438|Beige|Dark brown|Rasta hawaii|Rainbow|Staw hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/438
135|166.44492595173435|483|Nerd Ape Dao #483|Blue|Water|Lab|Heart|Pink beanie|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/483
136|166.4081581089476|1195|Nerd Ape Dao #1195|Red|Black|Banana hawaii|Black Nerd|Red bob|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1195
137|166.28633716166482|533|Nerd Ape Dao #533|Blue|Water|Red singlet|3D|Gold crown|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/533
138|166.2247916422642|258|Nerd Ape Dao #258|Beige|Light brown|Lab|Glasses|Cowboy hat|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/258
139|165.78194510458948|1204|Nerd Ape Dao #1204|Pink|Pink|Lab|Close|Newsboy cap|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1204
140|165.43905453599206|347|Nerd Ape Dao #347|Blue|Gold|Brown jacket|Dizzy|Red bob|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/347
141|164.7736876925404|905|Nerd Ape Dao #905|Green mint|Black|Brown jacket|ETH|Pink bucket|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/905
142|164.69049402222583|316|Nerd Ape Dao #316|Beige|Pink|Black turtleneck|Fasion|Blue headscarf|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/316
143|164.46421607134607|749|Nerd Ape Dao #749|Yellow|Zombie|Tuxedo|Rainbow|White bucket hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/749
144|163.65245732816842|666|Nerd Ape Dao #666|Blue|Zombie|Brown jacket|Wide_eyes|Rose headscarf|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/666
145|163.60649954079275|675|Nerd Ape Dao #675|Blue|Black|Black suit|Fasion|Gold crown|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/675
146|163.49192547918668|428|Nerd Ape Dao #428|Blue|Robot|Black suit|Dizzy|Gold crown|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/428
