rank|📈|name|score|link|background|body|clothes|eyewear|head|mouth
1|🔵|Nerd Ape Dao #55|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/55|Fire Nerd|||||
1|🔵|Nerd Ape Dao #281|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/281|Cyber Nerd|||||
1|🔵|Nerd Ape Dao #649|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/649|Wukong Nerd|||||
1|🔵|Nerd Ape Dao #892|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/892|Cosmic Nerd|||||
1|🔵|Nerd Ape Dao #1299|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1299|Lightning Nerd|||||
6|🔵|Nerd Ape Dao #1221|294.8165314401623|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1221|Gray|Dark brown|Stripedtee|Half Robot|Biker helmet|Tongue_out
7|🔵|Nerd Ape Dao #777|280.29322761652764|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/777|Light purple|Water|Banana hawaii|Shy|Brown camping hat|Cigarette
8|🔵|Nerd Ape Dao #488|279.8444025886216|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/488|Gray|Black|White shirt ribbon|Solar_beam|Biker helmet|Tongue_out
9|🔵|Nerd Ape Dao #1102|276.6351613179604|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1102|Gray|Tiger|Lab|Oneeye|Propeller cap|Close
10|🔵|Nerd Ape Dao #149|268.91235224586285|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/149|Gray|Pink|Lab|Square|Blue cap|Burger
11|🔵|Nerd Ape Dao #888|261.7061004900044|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/888|Gray|Cream|Pink fur|Wide_eyes|None|Tongue_out
12|🔵|Nerd Ape Dao #1371|260.3953853628172|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1371|Gray|Black|Black turtleneck|Red Cat|Fastfood|Open
13|🔵|Nerd Ape Dao #661|258.5585185050181|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/661|Light green|White|Flower Hawaii|Square|Staw hat|Close
14|🔵|Nerd Ape Dao #142|256.4739841026255|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/142|Light purple|Red|White shirt ribbon|Eyepatch|Brown camping hat|420
15|🔵|Nerd Ape Dao #971|255.53878710575137|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/971|Gray|Cream|Brown jacket|Angry|White bucket hat|Smile
16|🔵|Nerd Ape Dao #804|254.83039965986396|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/804|Yellow|Cream|Blue vest|Red|Brown camping hat|Candy
17|🔵|Nerd Ape Dao #847|252.7570540683797|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/847|Red|Tiger|Red singlet|Glasses|Brown camping hat|Cigar
18|🔵|Nerd Ape Dao #339|250.4961073318216|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/339|Gray|Cream|Sheriff|X|Gold hair|Sneaky
19|🔵|Nerd Ape Dao #277|249.41085374821006|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/277|Light green|Red|Black tee|Hearteye|Fastfood|Tongue_out
20|🔵|Nerd Ape Dao #409|248.87987991732|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/409|Light green|Red|Black leather|Sleepy|Pink bucket|420
21|🔵|Nerd Ape Dao #1164|248.32291665464393|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1164|Light green|Tiger|Green jacket|Heart|Rasta hat|Sneaky
22|🔵|Nerd Ape Dao #915|246.29438034060942|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/915|Light green|Robot|Red tee|Glasses|Propeller cap|Candy
23|🔵|Nerd Ape Dao #500|245.94866006701918|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/500|Gray|Robot|Green jacket|Red|Green beret|Close
24|🔵|Nerd Ape Dao #1081|244.69018517168476|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1081|Light green|White|Pink fur|Black Nerd|Staw hat|Smile
25|🔵|Nerd Ape Dao #301|244.41504042987418|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/301|Light green|Robot|None|X|Biker helmet|Sneaky
26|🔵|Nerd Ape Dao #151|244.21151614076493|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/151|Light green|Cream|Blue vest|White Round|Staw hat|Burger
27|🔵|Nerd Ape Dao #1341|244.05259983040395|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1341|Yellow|Pink|White shirt ribbon|Square|Brown camping hat|Grin
