rank|📈|name|score|link|background|body|clothes|eyewear|head|mouth
1|🔵|Nerd Ape Dao #55|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/55|Fire Nerd|||||
1|🔵|Nerd Ape Dao #281|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/281|Cyber Nerd|||||
1|🔵|Nerd Ape Dao #649|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/649|Wukong Nerd|||||
1|🔵|Nerd Ape Dao #892|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/892|Cosmic Nerd|||||
1|🔵|Nerd Ape Dao #1299|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1299|Lightning Nerd|||||
6|🔵|Nerd Ape Dao #1221|294.1862908678488|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1221|Gray|Dark brown|Stripedtee|Half Robot|Biker helmet|Tongue_out
7|🔵|Nerd Ape Dao #777|280.8587773584722|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/777|Light purple|Water|Banana hawaii|Shy|Brown camping hat|Cigarette
8|🔵|Nerd Ape Dao #488|280.5755721504185|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/488|Gray|Black|White shirt ribbon|Solar_beam|Biker helmet|Tongue_out
9|🔵|Nerd Ape Dao #1102|277.43816614036376|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1102|Gray|Tiger|Lab|Oneeye|Propeller cap|Close
10|🔵|Nerd Ape Dao #149|269.21673042531876|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/149|Gray|Pink|Lab|Square|Blue cap|Burger
11|🔵|Nerd Ape Dao #888|262.4657698673339|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/888|Gray|Cream|Pink fur|Wide_eyes|None|Tongue_out
12|🔵|Nerd Ape Dao #1371|260.8670430147186|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1371|Gray|Black|Black turtleneck|Red Cat|Fastfood|Open
13|🔵|Nerd Ape Dao #661|259.3090512147569|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/661|Light green|White|Flower Hawaii|Square|Staw hat|Close
14|🔵|Nerd Ape Dao #142|256.50098096097975|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/142|Light purple|Red|White shirt ribbon|Eyepatch|Brown camping hat|420
15|🟢+1|Nerd Ape Dao #804|255.53281563920905|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/804|Yellow|Cream|Blue vest|Red|Brown camping hat|Candy
16|🔴-1|Nerd Ape Dao #971|254.78488327149043|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/971|Gray|Cream|Brown jacket|Angry|White bucket hat|Smile
17|🔵|Nerd Ape Dao #847|253.4907465330194|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/847|Red|Tiger|Red singlet|Glasses|Brown camping hat|Cigar
18|🔵|Nerd Ape Dao #339|251.05449444735157|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/339|Gray|Cream|Sheriff|X|Gold hair|Sneaky
19|🔵|Nerd Ape Dao #277|250.13483300437323|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/277|Light green|Red|Black tee|Hearteye|Fastfood|Tongue_out
20|🔵|Nerd Ape Dao #409|249.6023178851497|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/409|Light green|Red|Black leather|Sleepy|Pink bucket|420
21|🔵|Nerd Ape Dao #1164|248.87499552437663|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1164|Light green|Tiger|Green jacket|Heart|Rasta hat|Sneaky
22|🔵|Nerd Ape Dao #915|246.84778915317065|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/915|Light green|Robot|Red tee|Glasses|Propeller cap|Candy
23|🔵|Nerd Ape Dao #500|246.50106533742195|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/500|Gray|Robot|Green jacket|Red|Green beret|Close
24|🔵|Nerd Ape Dao #1081|245.40046147116715|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1081|Light green|White|Pink fur|Black Nerd|Staw hat|Smile
25|🔵|Nerd Ape Dao #301|244.79425160544704|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/301|Light green|Robot|None|X|Biker helmet|Sneaky
26|🟢+1|Nerd Ape Dao #1341|244.72373046917005|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1341|Yellow|Pink|White shirt ribbon|Square|Brown camping hat|Grin
27|🔴-1|Nerd Ape Dao #151|244.70713137513218|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/151|Light green|Cream|Blue vest|White Round|Staw hat|Burger
