rank|score|token_id|name|background|body|clothes|eyewear|head|mouth|link
30|241.60267693381178|1081|Nerd Ape Dao #1081|Light green|White|Pink fur|Black Nerd|Staw hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1081
31|240.8978601118866|209|Nerd Ape Dao #209|Light green|Robot|Tuxedo|Demon|Green beanie|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/209
32|240.850147409817|1249|Nerd Ape Dao #1249|Light green|Tiger|None|Oval|Red bob|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1249
33|240.40692346589086|366|Nerd Ape Dao #366|Light green|Tiger|Black hoodie|Shy|Blue cap|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/366
34|240.04392812399647|619|Nerd Ape Dao #619|Beige|Gray|White singlet|ETH|Brown camping hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/619
35|239.94256637244064|1134|Nerd Ape Dao #1134|Beige|Lav|Lab|Half Robot|Rasta hat|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1134
36|239.4888177970557|508|Nerd Ape Dao #508|Gray|Light brown|Stripedtee|Sleepy|Staw hat|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/508
37|239.0609724105962|1112|Nerd Ape Dao #1112|Red|Pink|Rasta hawaii|Oneeye|Brown camping hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1112
38|235.29221066342492|577|Nerd Ape Dao #577|Green mint|Black|Adventure|Red|Brown camping hat|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/577
39|234.41779192185155|725|Nerd Ape Dao #725|Blue|Lav|Flower Hawaii|Half Robot|None|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/725
40|234.04648784469185|131|Nerd Ape Dao #131|Blue|Gold|Pirate|Red Beam|Gold crown|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/131
41|232.8460206567882|175|Nerd Ape Dao #175|Blue|Light brown|White fur|Black Nerd|Brown camping hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/175
42|230.81846080768463|61|Nerd Ape Dao #61|Blue|Dark brown|Red tee|Demon|Brown camping hat|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/61
43|223.5245627791011|750|Nerd Ape Dao #750|Pink|Black|Red tee|Cyberpunk|Brown camping hat|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/750
44|220.07655391310394|1244|Nerd Ape Dao #1244|Pink|White|Black turtleneck|Rainbow|Pirate hat|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1244
45|211.80283819181363|44|Nerd Ape Dao #44|Red|Water|Stripedtee|Rainbow|Gold crown|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/44
46|210.0870181003659|812|Nerd Ape Dao #812|Blue|Red|Black turtleneck|Rainbow|Staw hat|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/812
47|208.65070149855683|495|Nerd Ape Dao #495|Green mint|Gold|Black turtleneck|Rainbow|Green beret|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/495
48|204.95115946916567|342|Nerd Ape Dao #342|Green mint|Lav|Black leather|Half Robot|Pirate hat|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/342
49|204.49547907750465|757|Nerd Ape Dao #757|Pink|Lav|Sheriff|Half Robot|Gold hair|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/757
50|197.42388678304562|1273|Nerd Ape Dao #1273|Beige|Zombie|Rasta hawaii|Red Beam|Propeller cap|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1273
51|195.47462080317342|995|Nerd Ape Dao #995|Green mint|Cream|Flower Hawaii|Red Beam|Rose headscarf|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/995
52|194.63196602748027|182|Nerd Ape Dao #182|Green mint|Tiger|Rasta hawaii|Red Beam|Apple|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/182
53|194.47722462722462|257|Nerd Ape Dao #257|Pink|Cream|Fastfood|Red Beam|Rasta hat|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/257
54|192.8503761872683|1062|Nerd Ape Dao #1062|Green mint|Black|Judo|Half Robot|Apple|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1062
55|192.820239533422|1184|Nerd Ape Dao #1184|Yellow|White|Judo|Half Robot|Blue headscarf|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1184
56|191.12673605705282|1090|Nerd Ape Dao #1090|Green mint|Red|Lab|Red|Newsboy cap|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1090
57|190.50700307306101|993|Nerd Ape Dao #993|Blue|Gold|Dark blue suit|Rainbow|Pink bucket|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/993
58|189.928469658996|1077|Nerd Ape Dao #1077|Pink|Cream|Tech jacket|Rainbow|Pink bucket|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1077
59|189.764435847169|45|Nerd Ape Dao #45|Red|Lav|Pink hoodie|Solar_beam|Staw hat|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/45
60|189.02161664454587|872|Nerd Ape Dao #872|Beige|Lav|Lab|Hearteye|Green beanie|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/872
61|188.8165975051958|1333|Nerd Ape Dao #1333|Green mint|Gray|Red singlet|Half Robot|Pink beanie|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1333
62|188.4718511792602|200|Nerd Ape Dao #200|Light purple|Gold|Dark blue suit|Half Robot|Newsboy cap|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/200
63|188.14722370004017|5|Nerd Ape Dao #5|Beige|Water|Black hoodie|Red Beam|White bucket hat|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/5
64|187.8366710899552|1129|Nerd Ape Dao #1129|Pink|Tiger|Brown vest|Rainbow|Pirate hat|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1129
65|187.54887666374302|292|Nerd Ape Dao #292|Red|Water|Lab|X|Biker helmet|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/292
66|186.73658521167417|715|Nerd Ape Dao #715|Red|Light brown|Purple hoodie|Half Robot|Propeller cap|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/715
67|186.59225367941045|513|Nerd Ape Dao #513|Red|Light brown|Purple hoodie|Red Beam|Biker helmet|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/513
68|186.19443974203733|95|Nerd Ape Dao #95|Green mint|Tiger|Red singlet|Red Beam|Green beret|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/95
69|185.13664549331634|1201|Nerd Ape Dao #1201|Blue|Red|White singlet|Red Beam|Pirate hat|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1201
70|185.01885247945734|974|Nerd Ape Dao #974|Green mint|Water|Brown jacket|Gold|Pirate hat|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/974
71|184.87585225302504|29|Nerd Ape Dao #29|Red|Gray|Tech jacket|ETH|None|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/29
72|184.81252413547693|1241|Nerd Ape Dao #1241|Red|Dark brown|Goldchain|Red Beam|Pink beanie|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1241
73|184.1119414907064|493|Nerd Ape Dao #493|Pink|Black|Fastfood|Rainbow|Biker helmet|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/493
74|183.58949611961177|1159|Nerd Ape Dao #1159|Blue|White|Pirate|Rainbow|Pink bucket|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1159
75|183.4845914256533|467|Nerd Ape Dao #467|Beige|Lav|Black turtleneck|Oval|Pink bucket|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/467
76|182.90699302430397|1005|Nerd Ape Dao #1005|Light purple|Red|Sheriff|Solar_beam|Fastfood|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1005
77|182.70511012322157|78|Nerd Ape Dao #78|Yellow|Zombie|Sheriff|Eyepatch|Gold crown|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/78
78|182.06545155719562|259|Nerd Ape Dao #259|Pink|Cream|Black vest|Half Robot|Staw hat|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/259
79|181.9580779595162|1235|Nerd Ape Dao #1235|Beige|Gray|Red singlet|Solar_beam|Rasta hat|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1235
80|181.13549659356943|1207|Nerd Ape Dao #1207|Blue|White|Black tee|Red Beam|Propeller cap|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1207
81|181.05420401098672|763|Nerd Ape Dao #763|Light purple|Cream|Black vest|Rainbow|Blue headscarf|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/763
82|180.85392772815933|1200|Nerd Ape Dao #1200|Red|Zombie|Tech jacket|Eyepatch|None|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1200
83|180.6554511749391|1167|Nerd Ape Dao #1167|Pink|Gold|Black turtleneck|Red Cat|Blue headscarf|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1167
84|180.28899530284147|1104|Nerd Ape Dao #1104|Red|Dark brown|Dark blue suit|Half Robot|Blue cap|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1104
85|179.9517650036819|711|Nerd Ape Dao #711|Blue|White|Black vest|Red Beam|Adventure hat|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/711
86|179.78819171377214|97|Nerd Ape Dao #97|Beige|Zombie|Rasta hawaii|Solar_beam|Rasta hat|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/97
87|179.42744668470246|557|Nerd Ape Dao #557|Blue|Water|Brown jacket|Red|Rasta hat|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/557
88|178.64832359967866|58|Nerd Ape Dao #58|Yellow|Dark brown|Dark blue suit|Rainbow|Red bob|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/58
89|178.6304857007332|877|Nerd Ape Dao #877|Light purple|Cream|Pink hoodie|Half Robot|Green beret|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/877
90|178.28272357723577|305|Nerd Ape Dao #305|Light purple|Gray|Red tee|Solar_beam|Red bob|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/305
91|177.9239603701233|537|Nerd Ape Dao #537|Beige|Water|Pirate|Solar_beam|Black beanie|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/537
92|177.18654708294798|424|Nerd Ape Dao #424|Green mint|Zombie|Black sleeveless|Rainbow|Rasta hat|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/424
93|177.1260761416776|132|Nerd Ape Dao #132|Blue|Pink|White shirt ribbon|Rainbow|Green beret|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/132
94|176.96202812130565|165|Nerd Ape Dao #165|Pink|Pink|Black suit|Rainbow|Newsboy cap|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/165
95|176.367672323792|1015|Nerd Ape Dao #1015|Red|Tiger|Adventure|Half Robot|Pirate hat|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1015
96|176.12182614133835|760|Nerd Ape Dao #760|Light purple|Red|Brown vest|Solar_beam|Black beanie|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/760
97|175.9335126611926|166|Nerd Ape Dao #166|Light purple|Gold|Lab|Dizzy|Biker helmet|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/166
98|175.18571116169056|1014|Nerd Ape Dao #1014|Blue|Cream|Brown jacket|Square|Gold crown|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1014
99|175.17371082442577|853|Nerd Ape Dao #853|Blue|Dark brown|Stripedtee|Half Robot|Adventure hat|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/853
100|175.14919053937257|885|Nerd Ape Dao #885|Pink|Pink|Black turtleneck|Demon|Staw hat|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/885
101|174.36606664128593|212|Nerd Ape Dao #212|Yellow|Cream|Overalls|Red Beam|Adventure hat|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/212
102|173.55657282206548|1339|Nerd Ape Dao #1339|Red|Pink|Brown coat|Solar_beam|Cowboy hat|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1339
103|173.49218377413266|925|Nerd Ape Dao #925|Red|Dark brown|Black turtleneck|Eyepatch|Pink bucket|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/925
104|173.1646066788509|1|Nerd Ape Dao #1|Pink|Gray|Black turtleneck|Glasses|Rose headscarf|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1
105|173.11837052572199|1071|Nerd Ape Dao #1071|Green mint|Lav|Black turtleneck|3D|Black top hat|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1071
106|172.74535430114332|163|Nerd Ape Dao #163|Pink|Robot|Lab|Eyepatch|Staw hat|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/163
107|172.08378503621316|889|Nerd Ape Dao #889|Light purple|Pink|Black turtleneck|Gold|Blue cap|Open|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/889
108|171.38380850234375|1326|Nerd Ape Dao #1326|Beige|Lav|Banana hawaii|Fasion|Pirate hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1326
109|171.34108009741232|929|Nerd Ape Dao #929|Green mint|Black|Brown coat|Solar_beam|Staw hat|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/929
110|171.21170396599825|1230|Nerd Ape Dao #1230|Light purple|Robot|Lab|Close|Pink beanie|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1230
111|171.13111124145613|1343|Nerd Ape Dao #1343|Yellow|Pink|Adventure|Half Robot|White bucket hat|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1343
112|170.99790468819108|918|Nerd Ape Dao #918|Green mint|Zombie|Brown jacket|X|Propeller cap|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/918
113|170.8194102506312|1305|Nerd Ape Dao #1305|Green mint|Tiger|Blue vest|X|Gold crown|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1305
114|170.721219726501|907|Nerd Ape Dao #907|Light purple|Tiger|Flower Hawaii|White Round|Gold crown|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/907
115|170.6972910795672|656|Nerd Ape Dao #656|Pink|Dark brown|Red tee|Red Beam|Adventure hat|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/656
116|170.50478798851077|1202|Nerd Ape Dao #1202|Red|White|Banana hawaii|Black Nerd|Rasta hat|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1202
117|170.42011217747884|841|Nerd Ape Dao #841|Light purple|Tiger|Sheriff|Shy|Gold crown|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/841
118|170.20010920602667|401|Nerd Ape Dao #401|Blue|Red|Banana hawaii|Eyepatch|Propeller cap|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/401
119|170.11212078687203|527|Nerd Ape Dao #527|Blue|White|Black turtleneck|Red Cat|Biker helmet|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/527
120|170.03540273583548|462|Nerd Ape Dao #462|Yellow|White|Hawaii|Red Beam|Newsboy cap|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/462
121|169.83683554169124|753|Nerd Ape Dao #753|Red|Light brown|Black vest|Solar_beam|Green beret|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/753
122|169.12788559393823|1011|Nerd Ape Dao #1011|Yellow|Cream|Flower Hawaii|Solar_beam|Green beret|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1011
123|168.96337353960172|597|Nerd Ape Dao #597|Beige|Gold|Red singlet|Red Cat|None|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/597
124|168.9337212464926|438|Nerd Ape Dao #438|Beige|Dark brown|Rasta hawaii|Rainbow|Staw hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/438
125|168.7681852380719|869|Nerd Ape Dao #869|Beige|Tiger|Banana hawaii|Dizzy|Propeller cap|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/869
126|168.60376847086792|664|Nerd Ape Dao #664|Pink|White|Silverchain|Red Beam|Blue cap|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/664
127|168.47539729783733|919|Nerd Ape Dao #919|Pink|White|Green jacket|Half Robot|Blue cap|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/919
128|168.473743754146|392|Nerd Ape Dao #392|Yellow|Light brown|Purple hoodie|Solar_beam|Pink bucket|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/392
129|168.47157464435142|224|Nerd Ape Dao #224|Green mint|Gray|Dark blue suit|Angry|Gold crown|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/224
130|168.42096760452023|901|Nerd Ape Dao #901|Yellow|Cream|Black turtleneck|White Round|Apple|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/901
131|168.19015149035525|476|Nerd Ape Dao #476|Yellow|Dark brown|Hawaii|Red Beam|White bucket hat|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/476
132|167.41191887917464|533|Nerd Ape Dao #533|Blue|Water|Red singlet|3D|Gold crown|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/533
133|167.34388605952716|362|Nerd Ape Dao #362|Red|Gray|Brown jacket|Glasses|Rasta hat|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/362
134|167.30085312850534|483|Nerd Ape Dao #483|Blue|Water|Lab|Heart|Pink beanie|Mouchet|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/483
135|167.2490039604691|1204|Nerd Ape Dao #1204|Pink|Pink|Lab|Close|Newsboy cap|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1204
136|167.22064221019446|1353|Nerd Ape Dao #1353|Pink|Water|Silverchain|Solar_beam|Apple|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1353
