rank|score|token_id|name|background|body|clothes|eyewear|head|mouth|link
1|9999|55|Nerd Ape Dao #55|Fire Nerd||||||https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/55
1|9999|281|Nerd Ape Dao #281|Cyber Nerd||||||https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/281
1|9999|649|Nerd Ape Dao #649|Wukong Nerd||||||https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/649
1|9999|892|Nerd Ape Dao #892|Cosmic Nerd||||||https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/892
1|9999|1299|Nerd Ape Dao #1299|Lightning Nerd||||||https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1299
6|301.8389434808219|1221|Nerd Ape Dao #1221|Gray|Dark brown|Stripedtee|Half Robot|Biker helmet|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1221
7|290.3401108974154|488|Nerd Ape Dao #488|Gray|Black|White shirt ribbon|Solar_beam|Biker helmet|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/488
8|287.79520617689815|1102|Nerd Ape Dao #1102|Gray|Tiger|Lab|Oneeye|Propeller cap|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1102
9|280.838512044505|149|Nerd Ape Dao #149|Gray|Pink|Lab|Square|Blue cap|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/149
10|280.0961381895384|777|Nerd Ape Dao #777|Light purple|Water|Banana hawaii|Shy|Brown camping hat|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/777
11|272.8309755535925|888|Nerd Ape Dao #888|Gray|Cream|Pink fur|Wide_eyes|None|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/888
12|267.75440179338204|971|Nerd Ape Dao #971|Gray|Cream|Brown jacket|Angry|White bucket hat|Smile|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/971
13|258.57343747870067|339|Nerd Ape Dao #339|Gray|Cream|Sheriff|X|Gold hair|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/339
14|256.81559303087266|661|Nerd Ape Dao #661|Light green|White|Flower Hawaii|Square|Staw hat|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/661
15|256.74475383093267|142|Nerd Ape Dao #142|Light purple|Red|White shirt ribbon|Eyepatch|Brown camping hat|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/142
16|253.89708278612775|500|Nerd Ape Dao #500|Gray|Robot|Green jacket|Red|Green beret|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/500
17|252.8247225716929|804|Nerd Ape Dao #804|Yellow|Cream|Blue vest|Red|Brown camping hat|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/804
18|249.59337592133784|847|Nerd Ape Dao #847|Red|Tiger|Red singlet|Glasses|Brown camping hat|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/847
19|247.44568653028696|277|Nerd Ape Dao #277|Light green|Red|Black tee|Hearteye|Fastfood|Tongue_out|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/277
20|246.96205657872326|409|Nerd Ape Dao #409|Light green|Red|Black leather|Sleepy|Pink bucket|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/409
21|246.06288861721902|431|Nerd Ape Dao #431|Gray|Cream|White fur|Heart|Blue headscarf|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/431
22|245.62051041214158|1164|Nerd Ape Dao #1164|Light green|Tiger|Green jacket|Heart|Rasta hat|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1164
23|245.12199970443726|283|Nerd Ape Dao #283|Gray|Pink|Black hoodie|Black Nerd|Rose headscarf|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/283
24|244.998632618781|1341|Nerd Ape Dao #1341|Yellow|Pink|White shirt ribbon|Square|Brown camping hat|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1341
25|243.70085215671492|301|Nerd Ape Dao #301|Light green|Robot|None|X|Biker helmet|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/301
26|243.21542028734535|915|Nerd Ape Dao #915|Light green|Robot|Red tee|Glasses|Propeller cap|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/915
27|242.6262871776513|1153|Nerd Ape Dao #1153|Light green|Light brown|Pirate|Fasion|Staw hat|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1153
28|242.52648757502322|151|Nerd Ape Dao #151|Light green|Cream|Blue vest|White Round|Staw hat|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/151
29|242.2534726817618|383|Nerd Ape Dao #383|Gray|Tiger|Dark blue suit|Glasses|Green beret|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/383
