rank|📈|name|score|link|background|body|clothes|eyewear|head|mouth
28|🟢+1|Nerd Ape Dao #431|239.60180327564004|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/431|Gray|Cream|White fur|Heart|Blue headscarf|Gum
29|🔴-1|Nerd Ape Dao #409|239.16511004165284|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/409|Light green|Red|Black leather|Sleepy|Pink bucket|420
30|🔵|Nerd Ape Dao #915|238.93086192708415|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/915|Light green|Robot|Red tee|Glasses|Propeller cap|Candy
31|🟢+1|Nerd Ape Dao #61|237.5211108644521|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/61|Blue|Dark brown|Red tee|Demon|Brown camping hat|Candy
32|🔴-1|Nerd Ape Dao #1081|237.38326357350297|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1081|Light green|White|Pink fur|Black Nerd|Staw hat|Smile
33|🟢+1|Nerd Ape Dao #151|237.16353927693004|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/151|Light green|Cream|Blue vest|White Round|Staw hat|Burger
34|🔴-1|Nerd Ape Dao #175|236.84735228162882|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/175|Blue|Light brown|White fur|Black Nerd|Brown camping hat|Smile
35|🔵|Nerd Ape Dao #366|236.7144296069627|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/366|Light green|Tiger|Black hoodie|Shy|Blue cap|Sneaky
36|🟢+3|Nerd Ape Dao #1249|235.82300066845642|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1249|Light green|Tiger|None|Oval|Red bob|Mouchet
37|🟢+3|Nerd Ape Dao #383|235.78151165963527|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/383|Gray|Tiger|Dark blue suit|Glasses|Green beret|Grin
38|🔴-1|Nerd Ape Dao #301|235.69671514077825|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/301|Light green|Robot|None|X|Biker helmet|Sneaky
39|🔴-3|Nerd Ape Dao #1134|235.29571784955374|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1134|Beige|Lav|Lab|Half Robot|Rasta hat|Burger
40|🟢+2|Nerd Ape Dao #1153|233.50340358008899|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1153|Light green|Light brown|Pirate|Fasion|Staw hat|420
41|🔵|Nerd Ape Dao #209|233.2327648226807|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/209|Light green|Robot|Tuxedo|Demon|Green beanie|Smile
42|🟢+1|Nerd Ape Dao #508|231.9538453601744|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/508|Gray|Light brown|Stripedtee|Sleepy|Staw hat|Mouchet
43|🟢+2|Nerd Ape Dao #750|229.15468536861496|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/750|Pink|Black|Red tee|Cyberpunk|Brown camping hat|Open
44|🔴-6|Nerd Ape Dao #131|229.05858791233138|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/131|Blue|Gold|Pirate|Red Beam|Gold crown|Gold Grillz
45|🔴-1|Nerd Ape Dao #725|224.13325797585622|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/725|Blue|Lav|Flower Hawaii|Half Robot|None|Mouchet
46|🟡|Nerd Ape Dao #1398|218.98428841846217|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1398|Pink|Black|Tech jacket|Red Beam|Gold crown|Sneaky
47|🔴-1|Nerd Ape Dao #44|214.5945125629512|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/44|Red|Water|Stripedtee|Rainbow|Gold crown|Tongue_out
48|🔴-1|Nerd Ape Dao #1244|212.35697881091326|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1244|Pink|White|Black turtleneck|Rainbow|Pirate hat|Grillz
49|🔴-1|Nerd Ape Dao #812|203.83721609143873|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/812|Blue|Red|Black turtleneck|Rainbow|Staw hat|Sneaky
50|🔵|Nerd Ape Dao #495|202.82999021475013|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/495|Green mint|Gold|Black turtleneck|Rainbow|Green beret|Candy
51|🔵|Nerd Ape Dao #342|202.10871840391746|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/342|Green mint|Lav|Black leather|Half Robot|Pirate hat|Grillz
52|🔴-3|Nerd Ape Dao #757|201.96853842745952|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/757|Pink|Lav|Sheriff|Half Robot|Gold hair|Open
53|🔴-1|Nerd Ape Dao #995|192.94247769769993|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/995|Green mint|Cream|Flower Hawaii|Red Beam|Rose headscarf|Sneaky
54|🔴-1|Nerd Ape Dao #1273|192.91836257049238|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1273|Beige|Zombie|Rasta hawaii|Red Beam|Propeller cap|Cigarette
55|🟢+3|Nerd Ape Dao #1184|191.98757481950074|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1184|Yellow|White|Judo|Half Robot|Blue headscarf|Mouchet
56|🟢+3|Nerd Ape Dao #993|191.53856412724454|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/993|Blue|Gold|Dark blue suit|Rainbow|Pink bucket|Gum
57|🔴-2|Nerd Ape Dao #257|191.43647891541343|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/257|Pink|Cream|Fastfood|Red Beam|Rasta hat|Grin
58|🟢+3|Nerd Ape Dao #1129|191.42614341604883|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1129|Pink|Tiger|Brown vest|Rainbow|Pirate hat|Mouchet
59|🟢+1|Nerd Ape Dao #1062|191.15854323128534|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1062|Green mint|Black|Judo|Half Robot|Apple|420
60|🔴-6|Nerd Ape Dao #182|190.53996385070883|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/182|Green mint|Tiger|Rasta hawaii|Red Beam|Apple|Cigarette
61|🔴-4|Nerd Ape Dao #45|189.6274650749103|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/45|Red|Lav|Pink hoodie|Solar_beam|Staw hat|Grillz
62|🟢+1|Nerd Ape Dao #1090|189.51421613121397|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1090|Green mint|Red|Lab|Red|Newsboy cap|Grillz
63|🔴-1|Nerd Ape Dao #1077|188.56236926135222|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1077|Pink|Cream|Tech jacket|Rainbow|Pink bucket|Close
64|🔴-8|Nerd Ape Dao #5|188.51917824536054|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/5|Beige|Water|Black hoodie|Red Beam|White bucket hat|Sneaky
65|🟢+4|Nerd Ape Dao #1386|187.1052690531762|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1386|Light purple|Robot|Black vest|Half Robot|Adventure hat|Gold Grillz
66|🟢+1|Nerd Ape Dao #1333|187.09191939347107|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1333|Green mint|Gray|Red singlet|Half Robot|Pink beanie|Candy
67|🟢+4|Nerd Ape Dao #872|186.36906460862028|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/872|Beige|Lav|Lab|Hearteye|Green beanie|Open
68|🟢+5|Nerd Ape Dao #292|185.79720378719284|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/292|Red|Water|Lab|X|Biker helmet|Burger
69|🟢+6|Nerd Ape Dao #200|185.617010622657|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/200|Light purple|Gold|Dark blue suit|Half Robot|Newsboy cap|Cigarette
70|🟢+7|Nerd Ape Dao #493|185.3005864963497|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/493|Pink|Black|Fastfood|Rainbow|Biker helmet|Open
71|🟢+5|Nerd Ape Dao #715|184.62181978462183|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/715|Red|Light brown|Purple hoodie|Half Robot|Propeller cap|Grillz
72|🔴-8|Nerd Ape Dao #1241|184.34646020804234|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1241|Red|Dark brown|Goldchain|Red Beam|Pink beanie|Candy
73|🟢+5|Nerd Ape Dao #763|184.32520642297703|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/763|Light purple|Cream|Black vest|Rainbow|Blue headscarf|Sneaky
74|🔴-9|Nerd Ape Dao #95|183.96452693823477|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/95|Green mint|Tiger|Red singlet|Red Beam|Green beret|Pipe
75|🔴-9|Nerd Ape Dao #513|183.11147883871027|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/513|Red|Light brown|Purple hoodie|Red Beam|Biker helmet|Open
76|🔴-8|Nerd Ape Dao #1005|182.09602959757237|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1005|Light purple|Red|Sheriff|Solar_beam|Fastfood|420
77|🔴-5|Nerd Ape Dao #78|182.0290633070891|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/78|Yellow|Zombie|Sheriff|Eyepatch|Gold crown|Gold Grillz
78|🟢+4|Nerd Ape Dao #1159|181.68075517347057|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1159|Blue|White|Pirate|Rainbow|Pink bucket|Close
79|🔴-9|Nerd Ape Dao #1201|181.47679882586536|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1201|Blue|Red|White singlet|Red Beam|Pirate hat|Cigar
80|🟢+6|Nerd Ape Dao #165|181.3389224887505|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/165|Pink|Pink|Black suit|Rainbow|Newsboy cap|Mouchet
81|🟢+4|Nerd Ape Dao #58|181.1606740379733|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/58|Yellow|Dark brown|Dark blue suit|Rainbow|Red bob|Pipe
82|🔴-3|Nerd Ape Dao #1235|180.53795222970643|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1235|Beige|Gray|Red singlet|Solar_beam|Rasta hat|420
83|🟢+6|Nerd Ape Dao #259|180.11122112323787|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/259|Pink|Cream|Black vest|Half Robot|Staw hat|Cigarette
84|🟢+3|Nerd Ape Dao #974|180.06885505298646|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/974|Green mint|Water|Brown jacket|Gold|Pirate hat|Gold Grillz
85|🔴-1|Nerd Ape Dao #424|179.48429205210664|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/424|Green mint|Zombie|Black sleeveless|Rainbow|Rasta hat|Grin
86|🔴-5|Nerd Ape Dao #305|179.27839571883285|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/305|Light purple|Gray|Red tee|Solar_beam|Red bob|Gold Grillz
87|🔴-13|Nerd Ape Dao #1207|178.76713549182972|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1207|Blue|White|Black tee|Red Beam|Propeller cap|Gum
88|🔴-8|Nerd Ape Dao #711|177.91992992758435|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/711|Blue|White|Black vest|Red Beam|Adventure hat|Pipe
89|🟢+4|Nerd Ape Dao #877|177.7971579260432|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/877|Light purple|Cream|Pink hoodie|Half Robot|Green beret|Burger
90|🟢+2|Nerd Ape Dao #557|177.53840727604245|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/557|Blue|Water|Brown jacket|Red|Rasta hat|Candy
91|🟢+5|Nerd Ape Dao #1104|177.2696624234281|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1104|Red|Dark brown|Dark blue suit|Half Robot|Blue cap|Gold Grillz
92|🔴-2|Nerd Ape Dao #760|176.45857026202228|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/760|Light purple|Red|Brown vest|Solar_beam|Black beanie|Cigar
93|🟢+4|Nerd Ape Dao #132|176.41569720891303|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/132|Blue|Pink|White shirt ribbon|Rainbow|Green beret|Burger
94|🔴-11|Nerd Ape Dao #97|176.2729206406432|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/97|Beige|Zombie|Rasta hawaii|Solar_beam|Rasta hat|Sneaky
95|🔴-1|Nerd Ape Dao #1339|175.2022756370934|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1339|Red|Pink|Brown coat|Solar_beam|Cowboy hat|Tongue_out
96|🟢+7|Nerd Ape Dao #166|174.53760979037943|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/166|Light purple|Gold|Lab|Dizzy|Biker helmet|Smile
97|🔴-2|Nerd Ape Dao #537|174.47857067535307|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/537|Beige|Water|Pirate|Solar_beam|Black beanie|Cigarette
98|🔴-10|Nerd Ape Dao #29|173.80663717841657|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/29|Red|Gray|Tech jacket|ETH|None|Pipe
99|🟢+8|Nerd Ape Dao #1015|173.75740454928587|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1015|Red|Tiger|Adventure|Half Robot|Pirate hat|Cigarette
100|🟢+4|Nerd Ape Dao #853|173.71435412156484|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/853|Blue|Dark brown|Stripedtee|Half Robot|Adventure hat|Candy
101|🔴-10|Nerd Ape Dao #212|173.64064460219933|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/212|Yellow|Cream|Overalls|Red Beam|Adventure hat|420
102|🟡|Nerd Ape Dao #1394|173.58721946823033|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1394|Red|Lav|Tuxedo|Solar_beam|Rose headscarf|Grillz
103|🟢+2|Nerd Ape Dao #467|173.4161674848585|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/467|Beige|Lav|Black turtleneck|Oval|Pink bucket|Open
104|🔴-4|Nerd Ape Dao #929|172.43492067127184|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/929|Green mint|Black|Brown coat|Solar_beam|Staw hat|Pipe
105|🔴-6|Nerd Ape Dao #907|171.662821884732|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/907|Light purple|Tiger|Flower Hawaii|White Round|Gold crown|Candy
106|🟢+6|Nerd Ape Dao #1167|171.60733562652416|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1167|Pink|Gold|Black turtleneck|Red Cat|Blue headscarf|Close
107|🔴-5|Nerd Ape Dao #841|171.20176412637466|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/841|Light purple|Tiger|Sheriff|Shy|Gold crown|Cigarette
108|🔵|Nerd Ape Dao #1305|171.08713173495656|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1305|Green mint|Tiger|Blue vest|X|Gold crown|Cigarette
109|🟢+9|Nerd Ape Dao #163|170.74277592876967|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/163|Pink|Robot|Lab|Eyepatch|Staw hat|420
110|🔴-1|Nerd Ape Dao #1014|170.67351506458795|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1014|Blue|Cream|Brown jacket|Square|Gold crown|Cigar
111|🔴-13|Nerd Ape Dao #1200|170.56801111718698|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1200|Red|Zombie|Tech jacket|Eyepatch|None|Sneaky
112|🟢+5|Nerd Ape Dao #1343|170.3742917439399|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1343|Yellow|Pink|Adventure|Half Robot|White bucket hat|Grillz
113|🔴-12|Nerd Ape Dao #656|169.90335352130035|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/656|Pink|Dark brown|Red tee|Red Beam|Adventure hat|Gum
114|🟢+2|Nerd Ape Dao #438|169.5384628126213|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/438|Beige|Dark brown|Rasta hawaii|Rainbow|Staw hat|Smile
115|🟢+6|Nerd Ape Dao #1230|169.2767863522783|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1230|Light purple|Robot|Lab|Close|Pink beanie|Tongue_out
116|🟢+8|Nerd Ape Dao #885|168.4826960228505|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/885|Pink|Pink|Black turtleneck|Demon|Staw hat|Gold Grillz
117|🔴-11|Nerd Ape Dao #462|168.41861831900968|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/462|Yellow|White|Hawaii|Red Beam|Newsboy cap|Sneaky
118|🔴-4|Nerd Ape Dao #753|168.2273955896883|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/753|Red|Light brown|Black vest|Solar_beam|Green beret|Gold Grillz
119|🟢+6|Nerd Ape Dao #919|168.1588592846762|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/919|Pink|White|Green jacket|Half Robot|Blue cap|Smile
120|🟢+3|Nerd Ape Dao #918|168.14597177805783|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/918|Green mint|Zombie|Brown jacket|X|Propeller cap|Burger
121|🔴-10|Nerd Ape Dao #476|167.485724337115|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/476|Yellow|Dark brown|Hawaii|Red Beam|White bucket hat|Cigar
122|🔴-3|Nerd Ape Dao #520|167.4175746330732|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/520|Yellow|Pink|Goldchain|Solar_beam|Cowboy hat|Smile
123|🔴-8|Nerd Ape Dao #1353|167.23746509986583|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1353|Pink|Water|Silverchain|Solar_beam|Apple|Burger
124|🔴-2|Nerd Ape Dao #533|167.2233387487164|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/533|Blue|Water|Red singlet|3D|Gold crown|Candy
125|🟢+1|Nerd Ape Dao #749|167.1974341839908|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/749|Yellow|Zombie|Tuxedo|Rainbow|White bucket hat|Smile
126|🔴-16|Nerd Ape Dao #1011|167.17639653973305|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1011|Yellow|Cream|Flower Hawaii|Solar_beam|Green beret|Cigar
127|🔴-7|Nerd Ape Dao #392|166.82957741411792|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/392|Yellow|Light brown|Purple hoodie|Solar_beam|Pink bucket|420
128|🟢+3|Nerd Ape Dao #483|166.49588509913352|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/483|Blue|Water|Lab|Heart|Pink beanie|Mouchet
129|🔴-16|Nerd Ape Dao #664|166.2698541488666|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/664|Pink|White|Silverchain|Red Beam|Blue cap|Burger
130|🔴-3|Nerd Ape Dao #157|166.19239474617754|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/157|Beige|Gold|Red tee|Red|Gold crown|Grin
131|🟢+1|Nerd Ape Dao #1|165.8536992919814|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1|Pink|Gray|Black turtleneck|Glasses|Rose headscarf|Burger
132|🟢+8|Nerd Ape Dao #869|165.32922567343397|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/869|Beige|Tiger|Banana hawaii|Dizzy|Propeller cap|Gold Grillz
