rank|📈|name|score|link|background|body|clothes|eyewear|head|mouth
1|🔵|Nerd Ape Dao #55|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/55|Fire Nerd|||||
1|🔵|Nerd Ape Dao #281|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/281|Cyber Nerd|||||
1|🔵|Nerd Ape Dao #649|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/649|Wukong Nerd|||||
1|🔵|Nerd Ape Dao #892|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/892|Cosmic Nerd|||||
1|🔵|Nerd Ape Dao #1299|9999|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1299|Lightning Nerd|||||
6|🔵|Nerd Ape Dao #1221|292.82179641399273|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1221|Gray|Dark brown|Stripedtee|Half Robot|Biker helmet|Tongue_out
7|🟢+2|Nerd Ape Dao #777|281.33887853648923|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/777|Light purple|Water|Banana hawaii|Shy|Brown camping hat|Cigarette
8|🔵|Nerd Ape Dao #1102|280.70817461079633|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1102|Gray|Tiger|Lab|Oneeye|Propeller cap|Close
9|🔴-2|Nerd Ape Dao #488|279.0421133459801|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/488|Gray|Black|White shirt ribbon|Solar_beam|Biker helmet|Tongue_out
10|🔵|Nerd Ape Dao #149|272.9016947284465|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/149|Gray|Pink|Lab|Square|Blue cap|Burger
11|🔵|Nerd Ape Dao #1371|263.9526591682584|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1371|Gray|Black|Black turtleneck|Red Cat|Fastfood|Open
12|🔵|Nerd Ape Dao #888|259.90693994578265|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/888|Gray|Cream|Pink fur|Wide_eyes|None|Tongue_out
13|🔵|Nerd Ape Dao #804|258.72466927527665|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/804|Yellow|Cream|Blue vest|Red|Brown camping hat|Candy
14|🔵|Nerd Ape Dao #1387|258.6503968218964|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1387|Light green|Gray|Banana hawaii|Fasion|Newsboy cap|Pipe
15|🔵|Nerd Ape Dao #142|257.5899590215635|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/142|Light purple|Red|White shirt ribbon|Eyepatch|Brown camping hat|420
16|🟢+1|Nerd Ape Dao #847|255.36255764794373|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/847|Red|Tiger|Red singlet|Glasses|Brown camping hat|Cigar
17|🔴-1|Nerd Ape Dao #971|255.29811789544337|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/971|Gray|Cream|Brown jacket|Angry|White bucket hat|Smile
18|🔵|Nerd Ape Dao #339|252.24923116831894|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/339|Gray|Cream|Sheriff|X|Gold hair|Sneaky
19|🔵|Nerd Ape Dao #661|249.82021660757292|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/661|Light green|White|Flower Hawaii|Square|Staw hat|Close
20|🔵|Nerd Ape Dao #500|248.9335302760088|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/500|Gray|Robot|Green jacket|Red|Green beret|Close
21|🔵|Nerd Ape Dao #1341|246.57818901646795|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1341|Yellow|Pink|White shirt ribbon|Square|Brown camping hat|Grin
22|🔵|Nerd Ape Dao #619|244.0257054456693|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/619|Beige|Gray|White singlet|ETH|Brown camping hat|Smile
23|🔵|Nerd Ape Dao #1112|242.56373206265923|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1112|Red|Pink|Rasta hawaii|Oneeye|Brown camping hat|Smile
24|🔵|Nerd Ape Dao #277|241.85222181622566|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/277|Light green|Red|Black tee|Hearteye|Fastfood|Tongue_out
25|🟢+1|Nerd Ape Dao #577|241.62298117247008|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/577|Green mint|Black|Adventure|Red|Brown camping hat|Tongue_out
26|🔴-1|Nerd Ape Dao #283|241.26224042091138|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/283|Gray|Pink|Black hoodie|Black Nerd|Rose headscarf|Candy
27|🔵|Nerd Ape Dao #1164|240.450783119978|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1164|Light green|Tiger|Green jacket|Heart|Rasta hat|Sneaky
