rank|📈|name|score|link|background|body|clothes|eyewear|head|mouth
28|🔴-8|Nerd Ape Dao #409|238.67031627511045|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/409|Light green|Red|Black leather|Sleepy|Pink bucket|420
29|🟢+8|Nerd Ape Dao #431|238.66449002471887|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/431|Gray|Cream|White fur|Heart|Blue headscarf|Gum
30|🔴-8|Nerd Ape Dao #915|238.27111915793262|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/915|Light green|Robot|Red tee|Glasses|Propeller cap|Candy
31|🔴-7|Nerd Ape Dao #1081|236.8057041326665|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1081|Light green|White|Pink fur|Black Nerd|Staw hat|Smile
32|🟢+7|Nerd Ape Dao #61|236.52153953127004|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/61|Blue|Dark brown|Red tee|Demon|Brown camping hat|Candy
33|🟢+7|Nerd Ape Dao #175|236.2962705356649|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/175|Blue|Light brown|White fur|Black Nerd|Brown camping hat|Smile
34|🔴-7|Nerd Ape Dao #151|236.14404548129863|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/151|Light green|Cream|Blue vest|White Round|Staw hat|Burger
35|🔴-7|Nerd Ape Dao #366|235.5266319308204|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/366|Light green|Tiger|Black hoodie|Shy|Blue cap|Sneaky
36|🔵|Nerd Ape Dao #1134|235.28899282922274|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1134|Beige|Lav|Lab|Half Robot|Rasta hat|Burger
37|🔴-12|Nerd Ape Dao #301|235.00179665748757|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/301|Light green|Robot|None|X|Biker helmet|Sneaky
38|🔵|Nerd Ape Dao #131|234.96633890665993|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/131|Blue|Gold|Pirate|Red Beam|Gold crown|Gold Grillz
39|🔴-10|Nerd Ape Dao #1249|234.9644349817951|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1249|Light green|Tiger|None|Oval|Red bob|Mouchet
40|🟢+2|Nerd Ape Dao #383|234.6806721406925|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/383|Gray|Tiger|Dark blue suit|Glasses|Green beret|Grin
41|🔴-8|Nerd Ape Dao #209|232.69638006216948|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/209|Light green|Robot|Tuxedo|Demon|Green beanie|Smile
